tsne_1 tsne_2 label subject_code visual_run_index
39.09156036 4.14083338 0 0 0
40.19567490 10.18730164 0 0 1
42.99787903 10.33252716 0 0 2
43.31349945 10.48825645 0 0 3
43.90336609 9.98777103 0 0 4
44.12411499 10.37639618 0 0 5
45.64007568 11.39963341 0 0 6
47.56165695 10.95574570 0 0 7
49.47758865 10.75196838 0 0 8
51.76285172 10.79694557 0 0 9
52.76337814 9.97627831 0 0 10
52.79747009 9.36584949 0 0 11
53.53598785 8.31192207 0 0 12
53.38909912 7.22497511 0 0 13
54.52665710 7.77044439 0 0 14
39.41888809 -19.09702110 0 0 15
37.97812653 -19.16893387 0 0 16
36.89760208 -18.11552620 0 0 17
38.22275925 -18.04292870 0 0 18
39.05407333 -17.87227249 0 0 19
39.32761765 -16.94070244 0 0 20
39.20421982 -17.60265350 0 0 21
39.04650116 -16.68676949 0 0 22
34.64957428 -13.33522892 0 0 23
35.27473831 -12.29418087 0 0 24
34.23415375 -9.44126987 0 0 25
35.66699600 -10.45912457 0 0 26
34.34613037 -11.10204124 0 0 27
35.11424637 -9.68338108 0 0 28
35.42853546 -10.48259449 0 0 29
34.18410110 -11.68744755 0 0 30
34.26872635 -9.04288960 0 0 31
35.75826645 -8.79993534 0 0 32
38.90809631 -8.03320599 0 0 33
39.99780273 -8.88172054 0 0 34
37.55339432 -8.06819725 0 0 35
36.83311844 -13.96774006 0 0 36
36.95075989 -14.20268345 0 0 37
37.03413010 -14.36633492 0 0 38
8.66354084 27.05569458 0 0 39
7.01312971 27.75102425 0 0 40
7.34737587 27.30366898 0 0 41
8.47019005 26.80712128 0 0 42
7.48094082 27.19595528 0 0 43
6.46235228 27.30326271 0 0 44
6.85780287 26.85538673 0 0 45
7.63331556 26.90189171 0 0 46
37.75516891 -15.31335545 0 0 47
24.44879532 3.48039818 0 0 48
6.81199074 26.59853363 0 0 49
6.03994751 26.60811806 0 0 50
5.65910864 26.03764915 0 0 51
56.75922012 -7.29494190 0 0 52
57.13436508 -6.52467585 0 0 53
54.20768356 12.91768551 0 0 54
54.17321777 13.15845680 0 0 55
42.47183228 9.32298088 0 0 56
38.31449509 0.93870151 0 0 57
