# layer class subject_idx subject_id channel_idx channel_name value
conv1 Class3 0 13 0 Fp1 3.10299531e+04
conv1 Class3 1 50 0 Fp1 2.59968691e+04
conv1 Class3 2 12 0 Fp1 2.66513926e+04
conv1 Class3 3 9 0 Fp1 3.11993301e+04
conv1 Class3 4 40 0 Fp1 3.12335547e+04
conv1 Class3 5 7 0 Fp1 4.13355508e+04
conv1 Class3 6 41 0 Fp1 1.70860566e+04
conv1 Class3 7 49 0 Fp1 9.83796680e+03
conv1 Class3 8 3 0 Fp1 2.19781406e+04
conv1 Class3 9 8 0 Fp1 3.57009688e+04

conv1 Class3 0 13 1 Fpz 3.10776543e+04
conv1 Class3 1 50 1 Fpz 2.60230000e+04
conv1 Class3 2 12 1 Fpz 2.65949062e+04
conv1 Class3 3 9 1 Fpz 3.12555156e+04
conv1 Class3 4 40 1 Fpz 3.11786797e+04
conv1 Class3 5 7 1 Fpz 4.13106758e+04
conv1 Class3 6 41 1 Fpz 1.69405527e+04
conv1 Class3 7 49 1 Fpz 9.80697266e+03
conv1 Class3 8 3 1 Fpz 2.20768066e+04
conv1 Class3 9 8 1 Fpz 3.56594062e+04

conv1 Class3 0 13 2 Fp2 3.10144844e+04
conv1 Class3 1 50 2 Fp2 2.59348535e+04
conv1 Class3 2 12 2 Fp2 2.66924492e+04
conv1 Class3 3 9 2 Fp2 3.12202695e+04
conv1 Class3 4 40 2 Fp2 3.12695645e+04
conv1 Class3 5 7 2 Fp2 4.13014844e+04
conv1 Class3 6 41 2 Fp2 1.70679414e+04
conv1 Class3 7 49 2 Fp2 9.82476465e+03
conv1 Class3 8 3 2 Fp2 2.20697344e+04
conv1 Class3 9 8 2 Fp2 3.56774180e+04

conv1 Class3 0 13 3 AF7 3.14258164e+04
conv1 Class3 1 50 3 AF7 2.64220977e+04
conv1 Class3 2 12 3 AF7 2.71233711e+04
conv1 Class3 3 9 3 AF7 3.16505508e+04
conv1 Class3 4 40 3 AF7 3.17387520e+04
conv1 Class3 5 7 3 AF7 4.19595078e+04
conv1 Class3 6 41 3 AF7 1.74847500e+04
conv1 Class3 7 49 3 AF7 9.95499902e+03
conv1 Class3 8 3 3 AF7 2.24353535e+04
conv1 Class3 9 8 3 AF7 3.61485664e+04

conv1 Class3 0 13 4 AF3 3.14591660e+04
conv1 Class3 1 50 4 AF3 2.64348145e+04
