# layer class subject_idx subject_id channel_idx channel_name value
conv2 Class3 7 49 11 F1 1.18822295e+04
conv2 Class3 8 3 11 F1 2.99284043e+04
conv2 Class3 9 8 11 F1 2.71056934e+04

conv2 Class3 0 13 12 Fz 2.94499746e+04
conv2 Class3 1 50 12 Fz 1.33460137e+04
conv2 Class3 2 12 12 Fz 2.54615488e+04
conv2 Class3 3 9 12 Fz 2.60412090e+04
conv2 Class3 4 40 12 Fz 4.34730859e+04
conv2 Class3 5 7 12 Fz 3.71218945e+04
conv2 Class3 6 41 12 Fz 2.47943965e+04
conv2 Class3 7 49 12 Fz 1.17261572e+04
conv2 Class3 8 3 12 Fz 2.95516055e+04
conv2 Class3 9 8 12 Fz 2.68027969e+04

conv2 Class3 0 13 13 F2 2.97082969e+04
conv2 Class3 1 50 13 F2 1.34420244e+04
conv2 Class3 2 12 13 F2 2.59177832e+04
conv2 Class3 3 9 13 F2 2.63755215e+04
conv2 Class3 4 40 13 F2 4.41281445e+04
conv2 Class3 5 7 13 F2 3.75329922e+04
conv2 Class3 6 41 13 F2 2.50347793e+04
conv2 Class3 7 49 13 F2 1.18922695e+04
conv2 Class3 8 3 13 F2 2.96497305e+04
conv2 Class3 9 8 13 F2 2.71231855e+04

conv2 Class3 0 13 14 F4 2.96229824e+04
conv2 Class3 1 50 14 F4 1.34089795e+04
conv2 Class3 2 12 14 F4 2.56785078e+04
conv2 Class3 3 9 14 F4 2.63610195e+04
conv2 Class3 4 40 14 F4 4.40777266e+04
conv2 Class3 5 7 14 F4 3.74390078e+04
conv2 Class3 6 41 14 F4 2.50178867e+04
conv2 Class3 7 49 14 F4 1.18904756e+04
conv2 Class3 8 3 14 F4 2.95465273e+04
conv2 Class3 9 8 14 F4 2.71312754e+04

conv2 Class3 0 13 15 F6 2.92245059e+04
conv2 Class3 1 50 15 F6 1.32968730e+04
conv2 Class3 2 12 15 F6 2.52261406e+04
conv2 Class3 3 9 15 F6 2.59861758e+04
conv2 Class3 4 40 15 F6 4.34121797e+04
conv2 Class3 5 7 15 F6 3.69409023e+04
conv2 Class3 6 41 15 F6 2.46405957e+04
conv2 Class3 7 49 15 F6 1.16941455e+04
conv2 Class3 8 3 15 F6 2.92894883e+04
conv2 Class3 9 8 15 F6 2.67662246e+04

conv2 Class3 0 13 16 F8 3.07551973e+04
conv2 Class3 1 50 16 F8 1.40862529e+04
conv2 Class3 2 12 16 F8 2.63760742e+04
conv2 Class3 3 9 16 F8 2.74360410e+04
conv2 Class3 4 40 16 F8 4.62246211e+04
conv2 Class3 5 7 16 F8 3.88591016e+04
conv2 Class3 6 41 16 F8 2.60767305e+04
conv2 Class3 7 49 16 F8 1.24205752e+04
conv2 Class3 8 3 16 F8 3.05915586e+04
conv2 Class3 9 8 16 F8 2.83003750e+04

conv2 Class3 0 13 17 FT7 3.12845859e+04
conv2 Class3 1 50 17 FT7 1.43325371e+04
conv2 Class3 2 12 17 FT7 2.70810273e+04
conv2 Class3 3 9 17 FT7 2.80595996e+04
conv2 Class3 4 40 17 FT7 4.76559570e+04
conv2 Class3 5 7 17 FT7 3.98391953e+04
conv2 Class3 6 41 17 FT7 2.69103379e+04
conv2 Class3 7 49 17 FT7 1.26524893e+04
conv2 Class3 8 3 17 FT7 3.08747988e+04
conv2 Class3 9 8 17 FT7 2.87252246e+04

conv2 Class3 0 13 18 FC5 2.94415137e+04
conv2 Class3 1 50 18 FC5 1.33733965e+04
conv2 Class3 2 12 18 FC5 2.55219668e+04
conv2 Class3 3 9 18 FC5 2.61320098e+04
conv2 Class3 4 40 18 FC5 4.38509492e+04
conv2 Class3 5 7 18 FC5 3.72383867e+04
conv2 Class3 6 41 18 FC5 2.48880293e+04
conv2 Class3 7 49 18 FC5 1.18437197e+04
conv2 Class3 8 3 18 FC5 2.95865586e+04
conv2 Class3 9 8 18 FC5 2.70469004e+04

conv2 Class3 0 13 19 FC3 2.98938691e+04
conv2 Class3 1 50 19 FC3 1.35555078e+04
conv2 Class3 2 12 19 FC3 2.59305195e+04
conv2 Class3 3 9 19 FC3 2.64876562e+04
conv2 Class3 4 40 19 FC3 4.45763164e+04
conv2 Class3 5 7 19 FC3 3.77626094e+04
conv2 Class3 6 41 19 FC3 2.51397207e+04
conv2 Class3 7 49 19 FC3 1.22352861e+04
conv2 Class3 8 3 19 FC3 2.98959180e+04
conv2 Class3 9 8 19 FC3 2.74477715e+04

conv2 Class3 0 13 20 FC1 3.00299805e+04
conv2 Class3 1 50 20 FC1 1.35902764e+04
conv2 Class3 2 12 20 FC1 2.60869414e+04
conv2 Class3 3 9 20 FC1 2.64115645e+04
conv2 Class3 4 40 20 FC1 4.45586016e+04
conv2 Class3 5 7 20 FC1 3.76731055e+04
conv2 Class3 6 41 20 FC1 2.51782168e+04
conv2 Class3 7 49 20 FC1 1.24080557e+04
conv2 Class3 8 3 20 FC1 2.99738867e+04
conv2 Class3 9 8 20 FC1 2.73304590e+04

conv2 Class3 0 13 21 FCz 3.01325586e+04
conv2 Class3 1 50 21 FCz 1.36331836e+04
conv2 Class3 2 12 21 FCz 2.64106895e+04
conv2 Class3 3 9 21 FCz 2.64872441e+04
conv2 Class3 4 40 21 FCz 4.45451758e+04
conv2 Class3 5 7 21 FCz 3.75625625e+04
conv2 Class3 6 41 21 FCz 2.52751465e+04
conv2 Class3 7 49 21 FCz 1.23953154e+04
conv2 Class3 8 3 21 FCz 2.99609668e+04
conv2 Class3 9 8 21 FCz 2.71159355e+04

conv2 Class3 0 13 22 FC2 3.00197734e+04
conv2 Class3 1 50 22 FC2 1.35641572e+04
conv2 Class3 2 12 22 FC2 2.65291973e+04
conv2 Class3 3 9 22 FC2 2.65050879e+04
conv2 Class3 4 40 22 FC2 4.43758438e+04
conv2 Class3 5 7 22 FC2 3.73845430e+04
conv2 Class3 6 41 22 FC2 2.51947148e+04
conv2 Class3 7 49 22 FC2 1.23040293e+04
conv2 Class3 8 3 22 FC2 2.97850254e+04
conv2 Class3 9 8 22 FC2 2.69644121e+04

conv2 Class3 0 13 23 FC4 3.01578809e+04
conv2 Class3 1 50 23 FC4 1.35877119e+04
conv2 Class3 2 12 23 FC4 2.62962598e+04
conv2 Class3 3 9 23 FC4 2.66023477e+04
conv2 Class3 4 40 23 FC4 4.44195430e+04
conv2 Class3 5 7 23 FC4 3.74537812e+04
conv2 Class3 6 41 23 FC4 2.52643047e+04
conv2 Class3 7 49 23 FC4 1.22689814e+04
conv2 Class3 8 3 23 FC4 2.98733398e+04
conv2 Class3 9 8 23 FC4 2.69586250e+04

conv2 Class3 0 13 24 FC6 2.92698926e+04
conv2 Class3 1 50 24 FC6 1.33495752e+04
conv2 Class3 2 12 24 FC6 2.56448613e+04
conv2 Class3 3 9 24 FC6 2.61264531e+04
conv2 Class3 4 40 24 FC6 4.35805312e+04
conv2 Class3 5 7 24 FC6 3.69647734e+04
conv2 Class3 6 41 24 FC6 2.48280156e+04
conv2 Class3 7 49 24 FC6 1.18181465e+04
conv2 Class3 8 3 24 FC6 2.93792363e+04
conv2 Class3 9 8 24 FC6 2.66459102e+04

conv2 Class3 0 13 25 FT8 3.14770547e+04
conv2 Class3 1 50 25 FT8 1.44730342e+04
conv2 Class3 2 12 25 FT8 2.80271035e+04
conv2 Class3 3 9 25 FT8 2.81040293e+04
conv2 Class3 4 40 25 FT8 4.72613398e+04
conv2 Class3 5 7 25 FT8 3.96040000e+04
conv2 Class3 6 41 25 FT8 2.69515391e+04
conv2 Class3 7 49 25 FT8 1.30644170e+04
conv2 Class3 8 3 25 FT8 3.14078516e+04
conv2 Class3 9 8 25 FT8 2.85738379e+04

conv2 Class3 0 13 26 T7 3.19942305e+04
conv2 Class3 1 50 26 T7 1.48873740e+04
conv2 Class3 2 12 26 T7 2.82223320e+04
conv2 Class3 3 9 26 T7 2.91121465e+04
conv2 Class3 4 40 26 T7 4.93832852e+04
conv2 Class3 5 7 26 T7 4.09531484e+04
conv2 Class3 6 41 26 T7 2.85228418e+04
conv2 Class3 7 49 26 T7 1.35334590e+04
conv2 Class3 8 3 26 T7 3.11014297e+04
conv2 Class3 9 8 26 T7 2.95508086e+04

conv2 Class3 0 13 27 C5 2.95024531e+04
conv2 Class3 1 50 27 C5 1.34016104e+04
conv2 Class3 2 12 27 C5 2.56746465e+04
conv2 Class3 3 9 27 C5 2.59685156e+04
conv2 Class3 4 40 27 C5 4.35252969e+04
