# layer class subject_idx subject_id channel_idx channel_name value
conv2 Left 0 13 0 Fp1 3.22894551e+04
conv2 Left 1 50 0 Fp1 1.29027979e+04
conv2 Left 2 12 0 Fp1 1.47656953e+04
conv2 Left 3 9 0 Fp1 1.46514590e+04
conv2 Left 4 40 0 Fp1 3.91287266e+04
conv2 Left 5 7 0 Fp1 3.29367070e+04
conv2 Left 6 41 0 Fp1 2.14327285e+04
conv2 Left 7 49 0 Fp1 2.93677148e+04
conv2 Left 8 3 0 Fp1 3.17099648e+04
conv2 Left 9 8 0 Fp1 2.92784492e+04

conv2 Left 0 13 1 Fpz 3.21965547e+04
conv2 Left 1 50 1 Fpz 1.28361836e+04
conv2 Left 2 12 1 Fpz 1.48088125e+04
conv2 Left 3 9 1 Fpz 1.46040615e+04
conv2 Left 4 40 1 Fpz 3.88448945e+04
conv2 Left 5 7 1 Fpz 3.28830156e+04
conv2 Left 6 41 1 Fpz 2.15254414e+04
conv2 Left 7 49 1 Fpz 2.92530293e+04
conv2 Left 8 3 1 Fpz 3.17091445e+04
conv2 Left 9 8 1 Fpz 2.92071816e+04

conv2 Left 0 13 2 Fp2 3.21793281e+04
conv2 Left 1 50 2 Fp2 1.28546240e+04
conv2 Left 2 12 2 Fp2 1.48124746e+04
conv2 Left 3 9 2 Fp2 1.45843877e+04
conv2 Left 4 40 2 Fp2 3.89634375e+04
conv2 Left 5 7 2 Fp2 3.28690195e+04
conv2 Left 6 41 2 Fp2 2.14122109e+04
conv2 Left 7 49 2 Fp2 2.92567578e+04
conv2 Left 8 3 2 Fp2 3.16614922e+04
conv2 Left 9 8 2 Fp2 2.92244844e+04

conv2 Left 0 13 3 AF7 3.31522227e+04
conv2 Left 1 50 3 AF7 1.32203838e+04
conv2 Left 2 12 3 AF7 1.49428984e+04
conv2 Left 3 9 3 AF7 1.49041914e+04
conv2 Left 4 40 3 AF7 4.03638633e+04
conv2 Left 5 7 3 AF7 3.37526172e+04
conv2 Left 6 41 3 AF7 2.17364922e+04
conv2 Left 7 49 3 AF7 2.98913516e+04
conv2 Left 8 3 3 AF7 3.22153594e+04
conv2 Left 9 8 3 AF7 2.98930312e+04

conv2 Left 0 13 4 AF3 3.31675273e+04
conv2 Left 1 50 4 AF3 1.31257568e+04
conv2 Left 2 12 4 AF3 1.49206250e+04
conv2 Left 3 9 4 AF3 1.49702969e+04
conv2 Left 4 40 4 AF3 3.99949180e+04
conv2 Left 5 7 4 AF3 3.36987422e+04
conv2 Left 6 41 4 AF3 2.18466992e+04
conv2 Left 7 49 4 AF3 2.98486270e+04
conv2 Left 8 3 4 AF3 3.23600273e+04
conv2 Left 9 8 4 AF3 2.98098242e+04

conv2 Left 0 13 5 AFz 3.39368516e+04
conv2 Left 1 50 5 AFz 1.33216875e+04
conv2 Left 2 12 5 AFz 1.53195811e+04
conv2 Left 3 9 5 AFz 1.53757139e+04
conv2 Left 4 40 5 AFz 4.04927148e+04
conv2 Left 5 7 5 AFz 3.43747383e+04
conv2 Left 6 41 5 AFz 2.25615430e+04
conv2 Left 7 49 5 AFz 3.04044297e+04
conv2 Left 8 3 5 AFz 3.29827539e+04
conv2 Left 9 8 5 AFz 3.04010781e+04

conv2 Left 0 13 6 AF4 3.27609785e+04
