tsne_1 tsne_2 label subject_code visual_run_index
-10.97890282 -25.51993561 0 0 0
27.38881493 -23.95397377 0 0 1
-23.00120926 -8.95919609 0 0 2
-23.00794983 -8.94729328 0 0 3
-22.92681694 -9.86955357 0 0 4
-22.51546669 -11.62215233 0 0 5
-7.40191126 -6.84637737 0 0 6
18.71511650 2.77374291 0 0 7
4.03639126 -26.71247101 0 0 8
-7.38090897 -7.54394293 0 0 9
18.19738007 3.01656151 0 0 10
16.59991837 -15.06651592 0 0 11
-2.13328266 -16.44485474 0 0 12
-1.51630056 -7.69201708 0 0 13
-1.37508583 -6.34171009 0 0 14
3.47389460 -5.57379675 0 0 15
1.63143647 3.56596994 0 0 16
26.84230232 7.46109152 0 0 17
-0.29006800 6.34859753 0 0 18
0.66764307 6.47654867 0 0 19
-2.69003057 -0.16988306 0 0 20
-6.31696320 1.25549424 0 0 21
0.35426566 3.89368558 0 0 22
-0.80463284 3.36395001 0 0 23
-3.56662178 6.04245901 0 0 24
-1.01930165 6.46296120 0 0 25
-2.07410574 -0.73515606 0 0 26
-2.13853145 3.93690753 0 0 27
-1.96846855 4.92497492 0 0 28
-2.43063283 5.84938192 0 0 29
-1.19597280 4.10537338 0 0 30
-3.22159314 6.09076357 0 0 31
-0.30226710 4.70424891 0 0 32
-9.53243351 -4.65533352 0 0 33
-3.28034306 9.83531380 0 0 34
-2.74226546 0.79453105 0 0 35
-35.77999878 20.91765785 0 0 36
-37.19819641 19.31572723 0 0 37
-38.07229614 19.81643486 0 0 38
-38.92169189 19.97953415 0 0 39
-38.97992325 17.92470551 0 0 40
-41.78247833 17.76404953 0 0 41
-40.08720779 18.73246765 0 0 42
-40.91667175 17.60757065 0 0 43
-39.95223618 16.98658180 0 0 44
-39.98617554 16.84493446 0 0 45
-39.93153763 17.11381531 0 0 46
-39.98141861 18.19853401 0 0 47
-40.82364655 17.45273590 0 0 48
-40.26110458 16.09439850 0 0 49
-40.64123917 13.76686382 0 0 50
-41.17134476 10.13853550 0 0 51
-37.53537750 -0.71746999 0 0 52
-35.87705612 -2.67965412 0 0 53
-32.16054916 -5.05323124 0 0 54
-27.77006340 -7.94913816 0 0 55
-23.61519623 -6.72112560 0 0 56
-22.65188217 13.39333248 0 0 57
-2.01062584 6.00533533 0 0 58
7.83309746 -23.98172569 0 1 59
-11.79332638 1.83649659 0 1 60
-6.90388584 -24.62357903 0 1 61
33.74005890 -0.21909943 0 1 62
-1.52147448 -13.97556686 0 1 63
23.89910889 11.93362045 0 1 64
23.62011528 10.18495464 0 1 65
30.04179192 -9.06758404 0 1 66
-3.14406800 -0.48540846 0 1 67
-7.62972975 -0.03470042 0 1 68
-6.98838329 -23.27051926 0 1 69
33.54640198 -0.18211985 0 1 70
-10.98919678 -0.84010804 0 1 71
15.59161282 17.97441483 0 1 72
10.66871262 -31.14381981 0 1 73
0.75888199 -25.93538284 0 1 74
16.63660049 7.91560173 0 1 75
