# layer class subject_idx subject_id channel_idx channel_name value
conv3 Left 0 13 0 Fp1 2.12018945e+04
conv3 Left 1 50 0 Fp1 3.11655508e+04
conv3 Left 2 12 0 Fp1 2.55741465e+04
conv3 Left 3 9 0 Fp1 9.96398535e+03
conv3 Left 4 40 0 Fp1 3.32770508e+04
conv3 Left 5 7 0 Fp1 1.56408428e+04
conv3 Left 6 41 0 Fp1 1.52308887e+04
conv3 Left 7 49 0 Fp1 3.07824668e+04
conv3 Left 8 3 0 Fp1 3.12778164e+04
conv3 Left 9 8 0 Fp1 3.88928711e+03

conv3 Left 0 13 1 Fpz 2.10448145e+04
conv3 Left 1 50 1 Fpz 3.10630645e+04
conv3 Left 2 12 1 Fpz 2.55050215e+04
conv3 Left 3 9 1 Fpz 9.99017871e+03
conv3 Left 4 40 1 Fpz 3.30518867e+04
conv3 Left 5 7 1 Fpz 1.56345684e+04
conv3 Left 6 41 1 Fpz 1.52499834e+04
conv3 Left 7 49 1 Fpz 3.06569629e+04
conv3 Left 8 3 1 Fpz 3.12612715e+04
conv3 Left 9 8 1 Fpz 3.89672583e+03

conv3 Left 0 13 2 Fp2 2.10280352e+04
conv3 Left 1 50 2 Fp2 3.12969902e+04
conv3 Left 2 12 2 Fp2 2.54474336e+04
conv3 Left 3 9 2 Fp2 1.00768926e+04
conv3 Left 4 40 2 Fp2 3.30252930e+04
conv3 Left 5 7 2 Fp2 1.56764111e+04
conv3 Left 6 41 2 Fp2 1.52908330e+04
conv3 Left 7 49 2 Fp2 3.08148926e+04
conv3 Left 8 3 2 Fp2 3.12974551e+04
conv3 Left 9 8 2 Fp2 3.92928833e+03

conv3 Left 0 13 3 AF7 2.20586172e+04
conv3 Left 1 50 3 AF7 3.24010391e+04
conv3 Left 2 12 3 AF7 2.58538789e+04
conv3 Left 3 9 3 AF7 1.00166797e+04
conv3 Left 4 40 3 AF7 3.45617578e+04
conv3 Left 5 7 3 AF7 1.59463174e+04
conv3 Left 6 41 3 AF7 1.53439248e+04
conv3 Left 7 49 3 AF7 3.17012109e+04
conv3 Left 8 3 3 AF7 3.17155000e+04
conv3 Left 9 8 3 AF7 3.91136621e+03

conv3 Left 0 13 4 AF3 2.20881230e+04
conv3 Left 1 50 4 AF3 3.21946582e+04
conv3 Left 2 12 4 AF3 2.59094570e+04
conv3 Left 3 9 4 AF3 1.00533418e+04
conv3 Left 4 40 4 AF3 3.45424180e+04
conv3 Left 5 7 4 AF3 1.59707607e+04
conv3 Left 6 41 4 AF3 1.52806348e+04
conv3 Left 7 49 4 AF3 3.16891699e+04
conv3 Left 8 3 4 AF3 3.17605527e+04
conv3 Left 9 8 4 AF3 4.02960034e+03

conv3 Left 0 13 5 AFz 2.24152539e+04
conv3 Left 1 50 5 AFz 3.27731484e+04
conv3 Left 2 12 5 AFz 2.62054453e+04
conv3 Left 3 9 5 AFz 1.03276953e+04
conv3 Left 4 40 5 AFz 3.51692930e+04
conv3 Left 5 7 5 AFz 1.64164297e+04
conv3 Left 6 41 5 AFz 1.55297061e+04
conv3 Left 7 49 5 AFz 3.22091914e+04
conv3 Left 8 3 5 AFz 3.23387773e+04
conv3 Left 9 8 5 AFz 4.25813232e+03

conv3 Left 0 13 6 AF4 2.17121777e+04
conv3 Left 1 50 6 AF4 3.24399570e+04
conv3 Left 2 12 6 AF4 2.57547715e+04
conv3 Left 3 9 6 AF4 1.03557090e+04
conv3 Left 4 40 6 AF4 3.39353633e+04
conv3 Left 5 7 6 AF4 1.61437822e+04
conv3 Left 6 41 6 AF4 1.54511035e+04
conv3 Left 7 49 6 AF4 3.17676699e+04
conv3 Left 8 3 6 AF4 3.17864414e+04
conv3 Left 9 8 6 AF4 4.15975928e+03

conv3 Left 0 13 7 AF8 2.16587363e+04
conv3 Left 1 50 7 AF8 3.25526426e+04
conv3 Left 2 12 7 AF8 2.57342910e+04
conv3 Left 3 9 7 AF8 1.02481777e+04
conv3 Left 4 40 7 AF8 3.38014492e+04
conv3 Left 5 7 7 AF8 1.60626436e+04
conv3 Left 6 41 7 AF8 1.53977637e+04
conv3 Left 7 49 7 AF8 3.17601113e+04
conv3 Left 8 3 7 AF8 3.16296719e+04
conv3 Left 9 8 7 AF8 4.01854858e+03

conv3 Left 0 13 8 F7 2.33638848e+04
conv3 Left 1 50 8 F7 3.41649531e+04
conv3 Left 2 12 8 F7 2.68970664e+04
conv3 Left 3 9 8 F7 1.01930000e+04
conv3 Left 4 40 8 F7 3.57525625e+04
conv3 Left 5 7 8 F7 1.67203281e+04
conv3 Left 6 41 8 F7 1.57163535e+04
conv3 Left 7 49 8 F7 3.30728789e+04
conv3 Left 8 3 8 F7 3.27299766e+04
conv3 Left 9 8 8 F7 3.98333057e+03

conv3 Left 0 13 9 F5 2.18355391e+04
conv3 Left 1 50 9 F5 3.22101543e+04
conv3 Left 2 12 9 F5 2.56913262e+04
conv3 Left 3 9 9 F5 1.00074561e+04
conv3 Left 4 40 9 F5 3.41038867e+04
conv3 Left 5 7 9 F5 1.60034990e+04
conv3 Left 6 41 9 F5 1.53342783e+04
conv3 Left 7 49 9 F5 3.14932969e+04
conv3 Left 8 3 9 F5 3.14379766e+04
conv3 Left 9 8 9 F5 4.03486621e+03

conv3 Left 0 13 10 F3 2.24520801e+04
conv3 Left 1 50 10 F3 3.28065312e+04
conv3 Left 2 12 10 F3 2.60798340e+04
conv3 Left 3 9 10 F3 1.01068330e+04
conv3 Left 4 40 10 F3 3.49681367e+04
conv3 Left 5 7 10 F3 1.62612979e+04
conv3 Left 6 41 10 F3 1.54665088e+04
conv3 Left 7 49 10 F3 3.20438965e+04
conv3 Left 8 3 10 F3 3.18221777e+04
conv3 Left 9 8 10 F3 4.20443750e+03

conv3 Left 0 13 11 F1 2.24821191e+04
conv3 Left 1 50 11 F1 3.26387285e+04
