tsne_1 tsne_2 label subject_code visual_run_index
41.45012665 8.13426208 0 0 0
23.12202454 8.10995960 0 0 1
32.95601273 5.53969717 0 0 2
32.55537415 5.47537994 0 0 3
32.69196701 6.10597992 0 0 4
38.93581772 4.54709005 0 0 5
27.86911964 6.05285406 0 0 6
29.24915504 1.81850970 0 0 7
28.88622475 -0.88818204 0 0 8
21.12386322 0.74416238 0 0 9
31.12215805 1.80844879 0 0 10
31.54387093 1.50583065 0 0 11
35.20034027 -0.72367179 0 0 12
35.03951645 0.58484459 0 0 13
17.56628036 7.12665987 0 0 14
22.37779808 -5.07069349 0 0 15
18.05488777 -2.12765050 0 0 16
17.28669548 4.85313034 0 0 17
20.57014084 2.79892635 0 0 18
26.29955864 0.97636116 0 0 19
25.55135918 3.60103822 0 0 20
27.61372185 2.62776279 0 0 21
26.29995155 2.10097384 0 0 22
20.82077599 -2.59580421 0 0 23
19.29694366 3.55743790 0 0 24
30.60417747 -7.44022274 0 0 25
26.37509346 7.10805607 0 0 26
27.31915474 -2.80610728 0 0 27
29.98416138 -6.24162483 0 0 28
30.68672371 -1.54220915 0 0 29
25.78079796 -1.58189332 0 0 30
35.89844131 -4.13294888 0 0 31
33.24334335 -5.73366070 0 0 32
41.54464340 8.25786400 0 0 33
35.21709061 8.49724674 0 0 34
48.24943542 2.14244175 0 0 35
41.28055573 2.30736160 0 0 36
34.19214249 -0.56159091 0 0 37
33.50064468 4.47764444 0 0 38
19.44648361 2.05965972 0 0 39
-0.10555252 -2.17582417 0 0 40
5.60992241 1.78345823 0 0 41
18.41557121 7.39970398 0 0 42
7.44759750 0.56785184 0 0 43
-1.72562790 0.49016204 0 0 44
1.34252179 -0.87209022 0 0 45
5.71430302 2.26799345 0 0 46
25.27268410 3.71397090 0 0 47
16.90809059 0.14674012 0 0 48
4.82638311 2.93648958 0 0 49
-0.24132158 -0.57069898 0 0 50
4.19845343 1.46029830 0 0 51
30.40549660 0.39128777 0 0 52
31.40176392 2.54426479 0 0 53
27.09116554 3.33313847 0 0 54
17.69616508 0.32746890 0 0 55
28.49468994 2.14618897 0 0 56
31.77557182 -0.52635086 0 0 57
21.55130386 -1.04868460 0 0 58
3.95564198 -1.40203655 0 1 59
4.42697620 -0.66320187 0 1 60
9.19897652 1.89220738 0 1 61
2.74509072 -0.05296934 0 1 62
4.63266563 0.45001382 0 1 63
8.51935673 -0.12616087 0 1 64
2.72182226 1.47870660 0 1 65
5.89184284 5.41578913 0 1 66
0.72010159 -0.02006240 0 1 67
6.14965534 -1.38345945 0 1 68
8.71159077 1.62606370 0 1 69
7.18757629 -1.38411820 0 1 70
1.18980527 -4.25360250 0 1 71
2.92263317 3.60997105 0 1 72
4.31892443 2.69206786 0 1 73
8.12060452 0.18974918 0 1 74
4.64880705 1.47814667 0 1 75
5.49783993 5.19657803 0 1 76
12.47257042 -0.51947057 0 1 77
6.84675121 4.18966866 0 1 78
9.49884605 -0.50079238 0 1 79
12.28109741 3.82880235 0 1 80
6.06862211 0.98821408 0 1 81
5.84801579 1.98327982 0 1 82
12.41184998 3.19246697 0 1 83
13.27394867 -2.12314677 0 1 84
8.34616280 1.30912840 0 1 85
8.01805115 -1.50955844 0 1 86
5.39535713 1.83679545 0 1 87
6.09205294 2.44233727 0 1 88
5.22002172 -2.77601647 0 1 89
3.06996012 -0.69552803 0 1 90
4.88347244 -0.03769340 0 1 91
6.93075752 1.18904114 0 1 92
2.71757793 2.14700818 0 1 93
2.24738979 2.92809367 0 1 94
1.11002064 -2.93886375 0 1 95
2.30391741 -1.15031409 0 1 96
7.97913551 1.36134005 0 1 97
5.05420637 2.22556472 0 1 98
-0.41171300 -1.44640422 0 1 99
-18.80639267 6.98976469 0 1 100
