tsne_1 tsne_2 label subject_code visual_run_index
-36.47214508 16.34107971 0 0 0
-11.15662575 19.74300766 0 0 1
-40.58979416 -13.54558659 0 0 2
-39.29235458 -0.96173805 0 0 3
-41.32571793 -11.23727417 0 0 4
-40.40404129 -16.82997322 0 0 5
-36.26575470 7.17778254 0 0 6
-40.66353989 -16.42352676 0 0 7
-34.33844757 -2.86689234 0 0 8
-36.70422363 7.62044334 0 0 9
-40.63062286 -15.39323807 0 0 10
-33.94929123 6.64709759 0 0 11
-41.56825256 -9.69913960 0 0 12
-40.12824631 -8.96632290 0 0 13
-28.15751839 1.44603312 0 0 14
-23.98883247 12.46278667 0 0 15
-20.98185158 7.58461809 0 0 16
-14.33031654 15.41066742 0 0 17
-33.96888351 -2.04611039 0 0 18
-38.57709885 -0.35640448 0 0 19
-40.28401947 -0.79524440 0 0 20
-31.96872139 1.68758500 0 0 21
-33.18229294 3.16303635 0 0 22
-36.89479828 9.59753609 0 0 23
-34.73797226 -0.32161507 0 0 24
-34.55746460 0.34860891 0 0 25
-44.48910141 -14.00124073 0 0 26
-35.81772232 -0.01257707 0 0 27
-33.16409302 2.12589169 0 0 28
-38.69488525 -3.21005535 0 0 29
-39.47320557 -14.53463173 0 0 30
-36.00071716 0.18136927 0 0 31
-37.38000870 -2.56781387 0 0 32
-35.64090729 16.79479790 0 0 33
-37.10266876 15.19431305 0 0 34
-41.23724747 -19.37597847 0 0 35
-44.18024445 -20.69901848 0 0 36
-42.69485092 -14.31766224 0 0 37
-42.77023697 -14.44929600 0 0 38
-29.17885780 -4.01893330 0 0 39
-16.12808418 3.18341780 0 0 40
-24.57480431 0.97663695 0 0 41
-27.69520950 16.17757225 0 0 42
-27.71340942 -0.06047478 0 0 43
-14.48383141 4.42530346 0 0 44
-24.44515038 4.34987354 0 0 45
-26.40448761 6.90751982 0 0 46
-34.95904922 8.17629337 0 0 47
-29.29064178 -3.96007895 0 0 48
-32.42020798 -1.58957314 0 0 49
-13.64037704 2.99965906 0 0 50
-13.28229713 2.85059977 0 0 51
-33.61728668 -3.77725649 0 0 52
-43.79338074 -11.84193134 0 0 53
-36.39431763 -9.99644184 0 0 54
-37.64461136 -9.02931404 0 0 55
-42.18695831 -15.48251152 0 0 56
-40.72195816 -12.74869061 0 0 57
-26.38747787 12.21653652 0 0 58
-12.47240162 1.46426141 0 1 59
-10.98470402 13.94625282 0 1 60
-15.07395744 10.44932652 0 1 61
-13.93843651 8.12404728 0 1 62
-21.49887466 1.82278144 0 1 63
-27.49368477 -0.32199597 0 1 64
-15.78838444 6.35492563 0 1 65
-1.23975718 -0.41521665 0 1 66
-8.91072941 0.35391867 0 1 67
-27.27323723 3.15543008 0 1 68
-26.95050621 3.21821356 0 1 69
-20.03100777 2.66259623 0 1 70
-12.16324902 3.89685512 0 1 71
-13.53453922 4.90939665 0 1 72
-14.35890007 5.22211647 0 1 73
-20.18661118 6.85625267 0 1 74
-15.71289921 2.97642469 0 1 75
-13.20225716 9.48276997 0 1 76
-21.84946823 1.99259830 0 1 77
-15.36671162 8.98036385 0 1 78
-21.91715240 0.68209946 0 1 79
-18.57166290 5.33810043 0 1 80
-27.50748634 5.05452633 0 1 81
-20.85029984 8.77815342 0 1 82
-24.84157944 5.28503132 0 1 83
-28.21230888 6.14065981 0 1 84
-19.95068359 2.97375751 0 1 85
-17.65610313 -1.42003107 0 1 86
-16.22276306 5.05671453 0 1 87
-17.07173538 8.64143467 0 1 88
-13.84975243 0.51163566 0 1 89
