subject label EEG_original Transformer_Xf Temporal_filter_Phi Transfer_Entropy
v297 0 0.56870639 0.74939093 0.51173609 0.34891986
v298 0 0.30837675 0.65057329 0.75628370 0.65606519
v299 0 0.97509578 0.80298424 0.26987454 0.12653767
v300 0 1.71668048 0.47872549 0.29065821 0.14904827
v302 0 0.86503041 0.74305670 0.45262021 0.34975492
v303 0 1.60431372 0.62596934 0.11153700 0.01695314
v304 0 1.12240241 0.58922470 0.11922835 0.02870727
v305 0 1.23236162 0.86660652 0.14286292 0.05900696
v306 0 0.40877897 0.53129290 0.12067989 0.03791430
v307 0 0.57751661 0.76076843 0.73691995 0.57782455
v308 0 0.82651463 0.97361001 0.40116099 0.20254804
v309 0 0.70863050 0.70906397 0.58546291 0.46700282
v310 0 0.65520183 0.60316455 0.43252577 0.32884282
