# layer class subject_idx subject_id channel_idx channel_name value
conv3 Class3 0 13 0 Fp1 2.96620938e+04
conv3 Class3 1 50 0 Fp1 2.55977441e+04
conv3 Class3 2 12 0 Fp1 3.77382812e+04
conv3 Class3 3 9 0 Fp1 1.82393496e+04
conv3 Class3 4 40 0 Fp1 2.50553418e+04
conv3 Class3 5 7 0 Fp1 3.27201641e+04
conv3 Class3 6 41 0 Fp1 1.77771387e+04
conv3 Class3 7 49 0 Fp1 2.43549805e+04
conv3 Class3 8 3 0 Fp1 1.82210938e+04
conv3 Class3 9 8 0 Fp1 6.78928711e+03

conv3 Class3 0 13 1 Fpz 2.94982188e+04
conv3 Class3 1 50 1 Fpz 2.55559453e+04
conv3 Class3 2 12 1 Fpz 3.76427891e+04
conv3 Class3 3 9 1 Fpz 1.82891621e+04
conv3 Class3 4 40 1 Fpz 2.49573457e+04
conv3 Class3 5 7 1 Fpz 3.26088262e+04
conv3 Class3 6 41 1 Fpz 1.77007246e+04
conv3 Class3 7 49 1 Fpz 2.43064785e+04
conv3 Class3 8 3 1 Fpz 1.82095977e+04
conv3 Class3 9 8 1 Fpz 6.77962500e+03

conv3 Class3 0 13 2 Fp2 2.96244922e+04
conv3 Class3 1 50 2 Fp2 2.57412051e+04
conv3 Class3 2 12 2 Fp2 3.76537773e+04
conv3 Class3 3 9 2 Fp2 1.83960723e+04
conv3 Class3 4 40 2 Fp2 2.50773086e+04
conv3 Class3 5 7 2 Fp2 3.27321523e+04
conv3 Class3 6 41 2 Fp2 1.76830879e+04
conv3 Class3 7 49 2 Fp2 2.44818379e+04
conv3 Class3 8 3 2 Fp2 1.81676934e+04
conv3 Class3 9 8 2 Fp2 6.81905762e+03

conv3 Class3 0 13 3 AF7 3.08641348e+04
conv3 Class3 1 50 3 AF7 2.64364785e+04
conv3 Class3 2 12 3 AF7 3.84316641e+04
conv3 Class3 3 9 3 AF7 1.83582188e+04
conv3 Class3 4 40 3 AF7 2.58395332e+04
conv3 Class3 5 7 3 AF7 3.38316680e+04
conv3 Class3 6 41 3 AF7 1.80559980e+04
conv3 Class3 7 49 3 AF7 2.49737324e+04
conv3 Class3 8 3 3 AF7 1.84082598e+04
conv3 Class3 9 8 3 AF7 6.98103027e+03

conv3 Class3 0 13 4 AF3 3.07851328e+04
conv3 Class3 1 50 4 AF3 2.64621504e+04
conv3 Class3 2 12 4 AF3 3.85038711e+04
conv3 Class3 3 9 4 AF3 1.84169316e+04
conv3 Class3 4 40 4 AF3 2.59008965e+04
conv3 Class3 5 7 4 AF3 3.38317852e+04
conv3 Class3 6 41 4 AF3 1.81551426e+04
conv3 Class3 7 49 4 AF3 2.50361660e+04
conv3 Class3 8 3 4 AF3 1.84300723e+04
conv3 Class3 9 8 4 AF3 7.07266602e+03

conv3 Class3 0 13 5 AFz 3.13466973e+04
conv3 Class3 1 50 5 AFz 2.72556641e+04
conv3 Class3 2 12 5 AFz 3.92544141e+04
conv3 Class3 3 9 5 AFz 1.88500234e+04
conv3 Class3 4 40 5 AFz 2.66335273e+04
conv3 Class3 5 7 5 AFz 3.48664375e+04
conv3 Class3 6 41 5 AFz 1.84849473e+04
conv3 Class3 7 49 5 AFz 2.56578008e+04
conv3 Class3 8 3 5 AFz 1.86328711e+04
conv3 Class3 9 8 5 AFz 7.32804248e+03

conv3 Class3 0 13 6 AF4 3.06373555e+04
conv3 Class3 1 50 6 AF4 2.67889766e+04
conv3 Class3 2 12 6 AF4 3.85088242e+04
conv3 Class3 3 9 6 AF4 1.88470723e+04
conv3 Class3 4 40 6 AF4 2.61086016e+04
conv3 Class3 5 7 6 AF4 3.39976367e+04
conv3 Class3 6 41 6 AF4 1.80059688e+04
conv3 Class3 7 49 6 AF4 2.53833672e+04
conv3 Class3 8 3 6 AF4 1.82211152e+04
conv3 Class3 9 8 6 AF4 7.17781299e+03

conv3 Class3 0 13 7 AF8 3.05810195e+04
conv3 Class3 1 50 7 AF8 2.67286387e+04
conv3 Class3 2 12 7 AF8 3.84929453e+04
conv3 Class3 3 9 7 AF8 1.88092051e+04
conv3 Class3 4 40 7 AF8 2.59282891e+04
conv3 Class3 5 7 7 AF8 3.38361016e+04
conv3 Class3 6 41 7 AF8 1.79067793e+04
conv3 Class3 7 49 7 AF8 2.52526797e+04
conv3 Class3 8 3 7 AF8 1.81623418e+04
conv3 Class3 9 8 7 AF8 7.06628320e+03

conv3 Class3 0 13 8 F7 3.26310742e+04
conv3 Class3 1 50 8 F7 2.78108184e+04
conv3 Class3 2 12 8 F7 4.03552461e+04
conv3 Class3 3 9 8 F7 1.86529121e+04
conv3 Class3 4 40 8 F7 2.70671816e+04
conv3 Class3 5 7 8 F7 3.56140508e+04
conv3 Class3 6 41 8 F7 1.87726562e+04
conv3 Class3 7 49 8 F7 2.61866406e+04
conv3 Class3 8 3 8 F7 1.84827051e+04
conv3 Class3 9 8 8 F7 7.44069922e+03

conv3 Class3 0 13 9 F5 3.04446895e+04
conv3 Class3 1 50 9 F5 2.62827480e+04
conv3 Class3 2 12 9 F5 3.82189141e+04
conv3 Class3 3 9 9 F5 1.82311719e+04
conv3 Class3 4 40 9 F5 2.57360801e+04
conv3 Class3 5 7 9 F5 3.35104844e+04
conv3 Class3 6 41 9 F5 1.80454805e+04
conv3 Class3 7 49 9 F5 2.50417988e+04
conv3 Class3 8 3 9 F5 1.80985430e+04
conv3 Class3 9 8 9 F5 7.20771680e+03

conv3 Class3 0 13 10 F3 3.10882559e+04
conv3 Class3 1 50 10 F3 2.68095391e+04
conv3 Class3 2 12 10 F3 3.89378086e+04
conv3 Class3 3 9 10 F3 1.83890781e+04
conv3 Class3 4 40 10 F3 2.63531016e+04
conv3 Class3 5 7 10 F3 3.41924570e+04
conv3 Class3 6 41 10 F3 1.84108281e+04
conv3 Class3 7 49 10 F3 2.55177969e+04
conv3 Class3 8 3 10 F3 1.83334492e+04
conv3 Class3 9 8 10 F3 7.51989014e+03

conv3 Class3 0 13 11 F1 3.10786914e+04
conv3 Class3 1 50 11 F1 2.69636992e+04
conv3 Class3 2 12 11 F1 3.91367266e+04
conv3 Class3 3 9 11 F1 1.85181816e+04
conv3 Class3 4 40 11 F1 2.65367441e+04
conv3 Class3 5 7 11 F1 3.43134258e+04
conv3 Class3 6 41 11 F1 1.85829473e+04
conv3 Class3 7 49 11 F1 2.59092461e+04
conv3 Class3 8 3 11 F1 1.84973613e+04
conv3 Class3 9 8 11 F1 7.71780078e+03

conv3 Class3 0 13 12 Fz 3.05177539e+04
conv3 Class3 1 50 12 Fz 2.66172656e+04
conv3 Class3 2 12 12 Fz 3.87330742e+04
conv3 Class3 3 9 12 Fz 1.85317559e+04
conv3 Class3 4 40 12 Fz 2.60805000e+04
conv3 Class3 5 7 12 Fz 3.37736445e+04
conv3 Class3 6 41 12 Fz 1.83124180e+04
conv3 Class3 7 49 12 Fz 2.57446543e+04
conv3 Class3 8 3 12 Fz 1.83453301e+04
conv3 Class3 9 8 12 Fz 7.52020654e+03

conv3 Class3 0 13 13 F2 3.08927520e+04
conv3 Class3 1 50 13 F2 2.71830020e+04
conv3 Class3 2 12 13 F2 3.95735742e+04
conv3 Class3 3 9 13 F2 1.89377969e+04
conv3 Class3 4 40 13 F2 2.66740977e+04
conv3 Class3 5 7 13 F2 3.44104180e+04
conv3 Class3 6 41 13 F2 1.85742383e+04
conv3 Class3 7 49 13 F2 2.63477617e+04
conv3 Class3 8 3 13 F2 1.84098926e+04
conv3 Class3 9 8 13 F2 7.77885498e+03

conv3 Class3 0 13 14 F4 3.08055410e+04
conv3 Class3 1 50 14 F4 2.70998906e+04
conv3 Class3 2 12 14 F4 3.94965938e+04
conv3 Class3 3 9 14 F4 1.89578379e+04
conv3 Class3 4 40 14 F4 2.65818164e+04
conv3 Class3 5 7 14 F4 3.41869180e+04
conv3 Class3 6 41 14 F4 1.83945371e+04
conv3 Class3 7 49 14 F4 2.61293223e+04
conv3 Class3 8 3 14 F4 1.82260781e+04
conv3 Class3 9 8 14 F4 7.75142432e+03

conv3 Class3 0 13 15 F6 3.02476406e+04
conv3 Class3 1 50 15 F6 2.64975547e+04
conv3 Class3 2 12 15 F6 3.86125391e+04
conv3 Class3 3 9 15 F6 1.86188848e+04
conv3 Class3 4 40 15 F6 2.59160117e+04
conv3 Class3 5 7 15 F6 3.35062734e+04
conv3 Class3 6 41 15 F6 1.80266934e+04
conv3 Class3 7 49 15 F6 2.55139043e+04
conv3 Class3 8 3 15 F6 1.80601992e+04
