# layer class subject_idx subject_id channel_idx channel_name value
conv1 Class5 0 13 0 Fp1 2.98118438e+04
conv1 Class5 1 50 0 Fp1 2.15841758e+04
conv1 Class5 2 12 0 Fp1 3.28342539e+04
conv1 Class5 3 9 0 Fp1 3.42100547e+04
conv1 Class5 4 40 0 Fp1 4.12565703e+04
conv1 Class5 5 7 0 Fp1 3.52658633e+04
conv1 Class5 6 41 0 Fp1 2.99572266e+04
conv1 Class5 7 49 0 Fp1 3.34994062e+04
conv1 Class5 8 3 0 Fp1 4.99725469e+04
conv1 Class5 9 8 0 Fp1 2.31962832e+04

conv1 Class5 0 13 1 Fpz 2.99059277e+04
conv1 Class5 1 50 1 Fpz 2.15645449e+04
conv1 Class5 2 12 1 Fpz 3.27878633e+04
conv1 Class5 3 9 1 Fpz 3.41783867e+04
conv1 Class5 4 40 1 Fpz 4.11473398e+04
conv1 Class5 5 7 1 Fpz 3.52417578e+04
conv1 Class5 6 41 1 Fpz 2.97254746e+04
conv1 Class5 7 49 1 Fpz 3.33715859e+04
conv1 Class5 8 3 1 Fpz 4.99418242e+04
conv1 Class5 9 8 1 Fpz 2.31711309e+04

conv1 Class5 0 13 2 Fp2 2.97805020e+04
conv1 Class5 1 50 2 Fp2 2.16561699e+04
conv1 Class5 2 12 2 Fp2 3.28110352e+04
conv1 Class5 3 9 2 Fp2 3.42512422e+04
conv1 Class5 4 40 2 Fp2 4.12380469e+04
conv1 Class5 5 7 2 Fp2 3.52569883e+04
conv1 Class5 6 41 2 Fp2 2.99200020e+04
conv1 Class5 7 49 2 Fp2 3.34775742e+04
conv1 Class5 8 3 2 Fp2 4.99155859e+04
conv1 Class5 9 8 2 Fp2 2.32012500e+04

conv1 Class5 0 13 3 AF7 3.02280918e+04
conv1 Class5 1 50 3 AF7 2.19731211e+04
conv1 Class5 2 12 3 AF7 3.32927969e+04
conv1 Class5 3 9 3 AF7 3.48596367e+04
conv1 Class5 4 40 3 AF7 4.20121406e+04
conv1 Class5 5 7 3 AF7 3.58907070e+04
conv1 Class5 6 41 3 AF7 3.05372578e+04
conv1 Class5 7 49 3 AF7 3.40432344e+04
conv1 Class5 8 3 3 AF7 5.06971484e+04
conv1 Class5 9 8 3 AF7 2.35164551e+04

conv1 Class5 0 13 4 AF3 3.03719902e+04
conv1 Class5 1 50 4 AF3 2.19589082e+04
conv1 Class5 2 12 4 AF3 3.33332500e+04
conv1 Class5 3 9 4 AF3 3.48670898e+04
conv1 Class5 4 40 4 AF3 4.21105625e+04
conv1 Class5 5 7 4 AF3 3.59655938e+04
conv1 Class5 6 41 4 AF3 3.04085020e+04
conv1 Class5 7 49 4 AF3 3.40489883e+04
conv1 Class5 8 3 4 AF3 5.09020391e+04
conv1 Class5 9 8 4 AF3 2.34692500e+04

conv1 Class5 0 13 5 AFz 3.08388438e+04
conv1 Class5 1 50 5 AFz 2.20856406e+04
conv1 Class5 2 12 5 AFz 3.39224453e+04
conv1 Class5 3 9 5 AFz 3.55127773e+04
conv1 Class5 4 40 5 AFz 4.29838438e+04
conv1 Class5 5 7 5 AFz 3.66975078e+04
conv1 Class5 6 41 5 AFz 3.10183340e+04
conv1 Class5 7 49 5 AFz 3.47441055e+04
conv1 Class5 8 3 5 AFz 5.19786641e+04
conv1 Class5 9 8 5 AFz 2.37730918e+04

conv1 Class5 0 13 6 AF4 3.01609531e+04
conv1 Class5 1 50 6 AF4 2.18189824e+04
conv1 Class5 2 12 6 AF4 3.30639883e+04
conv1 Class5 3 9 6 AF4 3.47866875e+04
conv1 Class5 4 40 6 AF4 4.17923984e+04
conv1 Class5 5 7 6 AF4 3.56560039e+04
conv1 Class5 6 41 6 AF4 3.02306113e+04
conv1 Class5 7 49 6 AF4 3.39581641e+04
conv1 Class5 8 3 6 AF4 5.06174883e+04
conv1 Class5 9 8 6 AF4 2.34119434e+04

conv1 Class5 0 13 7 AF8 3.01873398e+04
conv1 Class5 1 50 7 AF8 2.19824082e+04
conv1 Class5 2 12 7 AF8 3.32243281e+04
conv1 Class5 3 9 7 AF8 3.47703203e+04
conv1 Class5 4 40 7 AF8 4.19467578e+04
conv1 Class5 5 7 7 AF8 3.57471055e+04
conv1 Class5 6 41 7 AF8 3.02784961e+04
conv1 Class5 7 49 7 AF8 3.40529727e+04
conv1 Class5 8 3 7 AF8 5.06725703e+04
conv1 Class5 9 8 7 AF8 2.35318633e+04

conv1 Class5 0 13 8 F7 3.13786523e+04
conv1 Class5 1 50 8 F7 2.26668828e+04
conv1 Class5 2 12 8 F7 3.44358125e+04
conv1 Class5 3 9 8 F7 3.60295938e+04
conv1 Class5 4 40 8 F7 4.38078516e+04
conv1 Class5 5 7 8 F7 3.73610352e+04
conv1 Class5 6 41 8 F7 3.15334355e+04
conv1 Class5 7 49 8 F7 3.54443984e+04
conv1 Class5 8 3 8 F7 5.25579609e+04
conv1 Class5 9 8 8 F7 2.42334648e+04

conv1 Class5 0 13 9 F5 3.01050352e+04
conv1 Class5 1 50 9 F5 2.18289609e+04
conv1 Class5 2 12 9 F5 3.30536641e+04
conv1 Class5 3 9 9 F5 3.45426758e+04
conv1 Class5 4 40 9 F5 4.17243281e+04
conv1 Class5 5 7 9 F5 3.56202539e+04
conv1 Class5 6 41 9 F5 3.01570664e+04
conv1 Class5 7 49 9 F5 3.37967383e+04
conv1 Class5 8 3 9 F5 5.04703945e+04
conv1 Class5 9 8 9 F5 2.34017129e+04

conv1 Class5 0 13 10 F3 3.04383652e+04
conv1 Class5 1 50 10 F3 2.20898574e+04
conv1 Class5 2 12 10 F3 3.35150820e+04
conv1 Class5 3 9 10 F3 3.50411055e+04
conv1 Class5 4 40 10 F3 4.23754453e+04
conv1 Class5 5 7 10 F3 3.61497500e+04
conv1 Class5 6 41 10 F3 3.07048184e+04
conv1 Class5 7 49 10 F3 3.42643164e+04
conv1 Class5 8 3 10 F3 5.11677773e+04
conv1 Class5 9 8 10 F3 2.36247891e+04

conv1 Class5 0 13 11 F1 3.02227617e+04
conv1 Class5 1 50 11 F1 2.20138652e+04
conv1 Class5 2 12 11 F1 3.35418828e+04
conv1 Class5 3 9 11 F1 3.51030586e+04
conv1 Class5 4 40 11 F1 4.24666875e+04
conv1 Class5 5 7 11 F1 3.62204883e+04
conv1 Class5 6 41 11 F1 3.08337695e+04
conv1 Class5 7 49 11 F1 3.43271641e+04
conv1 Class5 8 3 11 F1 5.13380156e+04
conv1 Class5 9 8 11 F1 2.34992812e+04

conv1 Class5 0 13 12 Fz 2.99117070e+04
conv1 Class5 1 50 12 Fz 2.16598984e+04
conv1 Class5 2 12 12 Fz 3.30986758e+04
conv1 Class5 3 9 12 Fz 3.45397930e+04
conv1 Class5 4 40 12 Fz 4.18053633e+04
conv1 Class5 5 7 12 Fz 3.56473281e+04
conv1 Class5 6 41 12 Fz 3.03961191e+04
conv1 Class5 7 49 12 Fz 3.38483672e+04
conv1 Class5 8 3 12 Fz 5.06751055e+04
conv1 Class5 9 8 12 Fz 2.32829258e+04

conv1 Class5 0 13 13 F2 3.01754199e+04
conv1 Class5 1 50 13 F2 2.18199941e+04
conv1 Class5 2 12 13 F2 3.32767422e+04
conv1 Class5 3 9 13 F2 3.48310117e+04
conv1 Class5 4 40 13 F2 4.20317266e+04
conv1 Class5 5 7 13 F2 3.58140977e+04
conv1 Class5 6 41 13 F2 3.06138945e+04
conv1 Class5 7 49 13 F2 3.41433945e+04
conv1 Class5 8 3 13 F2 5.09589727e+04
conv1 Class5 9 8 13 F2 2.35037168e+04

conv1 Class5 0 13 14 F4 3.01677598e+04
conv1 Class5 1 50 14 F4 2.19718496e+04
conv1 Class5 2 12 14 F4 3.33387773e+04
conv1 Class5 3 9 14 F4 3.50054727e+04
conv1 Class5 4 40 14 F4 4.21218164e+04
conv1 Class5 5 7 14 F4 3.59778867e+04
conv1 Class5 6 41 14 F4 3.05570156e+04
conv1 Class5 7 49 14 F4 3.41698164e+04
conv1 Class5 8 3 14 F4 5.09540703e+04
conv1 Class5 9 8 14 F4 2.34509473e+04

conv1 Class5 0 13 15 F6 2.98590059e+04
conv1 Class5 1 50 15 F6 2.17871230e+04
conv1 Class5 2 12 15 F6 3.29821250e+04
conv1 Class5 3 9 15 F6 3.45706406e+04
conv1 Class5 4 40 15 F6 4.16022812e+04
conv1 Class5 5 7 15 F6 3.55692852e+04
conv1 Class5 6 41 15 F6 3.02131855e+04
conv1 Class5 7 49 15 F6 3.37506992e+04
conv1 Class5 8 3 15 F6 5.03288281e+04
conv1 Class5 9 8 15 F6 2.32580488e+04

conv1 Class5 0 13 16 F8 3.10177715e+04
conv1 Class5 1 50 16 F8 2.27173223e+04
conv1 Class5 2 12 16 F8 3.47730195e+04
conv1 Class5 3 9 16 F8 3.60986914e+04
conv1 Class5 4 40 16 F8 4.36504766e+04
conv1 Class5 5 7 16 F8 3.73112305e+04
conv1 Class5 6 41 16 F8 3.19733652e+04
conv1 Class5 7 49 16 F8 3.55003672e+04
conv1 Class5 8 3 16 F8 5.27482031e+04
conv1 Class5 9 8 16 F8 2.41656816e+04

conv1 Class5 0 13 17 FT7 3.18048027e+04
conv1 Class5 1 50 17 FT7 2.33903145e+04
conv1 Class5 2 12 17 FT7 3.56123359e+04
conv1 Class5 3 9 17 FT7 3.69025586e+04
conv1 Class5 4 40 17 FT7 4.47823789e+04
conv1 Class5 5 7 17 FT7 3.81248164e+04
conv1 Class5 6 41 17 FT7 3.26870605e+04
conv1 Class5 7 49 17 FT7 3.62000234e+04
conv1 Class5 8 3 17 FT7 5.40417773e+04
conv1 Class5 9 8 17 FT7 2.45984238e+04

conv1 Class5 0 13 18 FC5 3.00434238e+04
conv1 Class5 1 50 18 FC5 2.18554414e+04
conv1 Class5 2 12 18 FC5 3.32649375e+04
conv1 Class5 3 9 18 FC5 3.47539844e+04
conv1 Class5 4 40 18 FC5 4.19192266e+04
conv1 Class5 5 7 18 FC5 3.58480078e+04
conv1 Class5 6 41 18 FC5 3.04766816e+04
conv1 Class5 7 49 18 FC5 3.39927070e+04
conv1 Class5 8 3 18 FC5 5.08497422e+04
conv1 Class5 9 8 18 FC5 2.33509961e+04

conv1 Class5 0 13 19 FC3 3.01835527e+04
conv1 Class5 1 50 19 FC3 2.19785098e+04
conv1 Class5 2 12 19 FC3 3.35814492e+04
conv1 Class5 3 9 19 FC3 3.51654805e+04
conv1 Class5 4 40 19 FC3 4.23878125e+04
conv1 Class5 5 7 19 FC3 3.63113398e+04
conv1 Class5 6 41 19 FC3 3.10482988e+04
conv1 Class5 7 49 19 FC3 3.43968203e+04
conv1 Class5 8 3 19 FC3 5.14043555e+04
conv1 Class5 9 8 19 FC3 2.34254258e+04

conv1 Class5 0 13 20 FC1 3.00115254e+04
conv1 Class5 1 50 20 FC1 2.18273242e+04
conv1 Class5 2 12 20 FC1 3.34749219e+04
conv1 Class5 3 9 20 FC1 3.50854609e+04
conv1 Class5 4 40 20 FC1 4.22153047e+04
conv1 Class5 5 7 20 FC1 3.62107266e+04
conv1 Class5 6 41 20 FC1 3.10701152e+04
conv1 Class5 7 49 20 FC1 3.43542734e+04
conv1 Class5 8 3 20 FC1 5.12796211e+04
conv1 Class5 9 8 20 FC1 2.32554316e+04

conv1 Class5 0 13 21 FCz 2.99103242e+04
conv1 Class5 1 50 21 FCz 2.19676543e+04
conv1 Class5 2 12 21 FCz 3.36429258e+04
conv1 Class5 3 9 21 FCz 3.49346328e+04
conv1 Class5 4 40 21 FCz 4.18654023e+04
conv1 Class5 5 7 21 FCz 3.60907656e+04
conv1 Class5 6 41 21 FCz 3.09757461e+04
conv1 Class5 7 49 21 FCz 3.42204531e+04
conv1 Class5 8 3 21 FCz 5.11224023e+04
conv1 Class5 9 8 21 FCz 2.32455215e+04

conv1 Class5 0 13 22 FC2 3.00794336e+04
conv1 Class5 1 50 22 FC2 2.21812070e+04
conv1 Class5 2 12 22 FC2 3.35095234e+04
conv1 Class5 3 9 22 FC2 3.50332773e+04
conv1 Class5 4 40 22 FC2 4.18176523e+04
conv1 Class5 5 7 22 FC2 3.60762812e+04
conv1 Class5 6 41 22 FC2 3.08426426e+04
conv1 Class5 7 49 22 FC2 3.41522305e+04
conv1 Class5 8 3 22 FC2 5.10780078e+04
conv1 Class5 9 8 22 FC2 2.32220586e+04

conv1 Class5 0 13 23 FC4 3.01309238e+04
conv1 Class5 1 50 23 FC4 2.21881562e+04
conv1 Class5 2 12 23 FC4 3.35123125e+04
conv1 Class5 3 9 23 FC4 3.51823906e+04
conv1 Class5 4 40 23 FC4 4.20167578e+04
conv1 Class5 5 7 23 FC4 3.62110898e+04
conv1 Class5 6 41 23 FC4 3.08358945e+04
conv1 Class5 7 49 23 FC4 3.42380352e+04
conv1 Class5 8 3 23 FC4 5.11446758e+04
conv1 Class5 9 8 23 FC4 2.32957598e+04

conv1 Class5 0 13 24 FC6 2.97663828e+04
conv1 Class5 1 50 24 FC6 2.17737422e+04
conv1 Class5 2 12 24 FC6 3.31254922e+04
conv1 Class5 3 9 24 FC6 3.45119531e+04
conv1 Class5 4 40 24 FC6 4.13421797e+04
conv1 Class5 5 7 24 FC6 3.55538516e+04
conv1 Class5 6 41 24 FC6 3.02680918e+04
conv1 Class5 7 49 24 FC6 3.37336172e+04
conv1 Class5 8 3 24 FC6 5.03988125e+04
conv1 Class5 9 8 24 FC6 2.31397168e+04

conv1 Class5 0 13 25 FT8 3.14370078e+04
conv1 Class5 1 50 25 FT8 2.31009609e+04
conv1 Class5 2 12 25 FT8 3.58168789e+04
conv1 Class5 3 9 25 FT8 3.67105625e+04
conv1 Class5 4 40 25 FT8 4.40941133e+04
conv1 Class5 5 7 25 FT8 3.80991836e+04
conv1 Class5 6 41 25 FT8 3.24597090e+04
conv1 Class5 7 49 25 FT8 3.61500000e+04
conv1 Class5 8 3 25 FT8 5.40024219e+04
conv1 Class5 9 8 25 FT8 2.42677930e+04

conv1 Class5 0 13 26 T7 3.22555156e+04
conv1 Class5 1 50 26 T7 2.45354219e+04
conv1 Class5 2 12 26 T7 3.70375742e+04
conv1 Class5 3 9 26 T7 3.86042578e+04
conv1 Class5 4 40 26 T7 4.55975625e+04
conv1 Class5 5 7 26 T7 3.91667773e+04
conv1 Class5 6 41 26 T7 3.34305391e+04
conv1 Class5 7 49 26 T7 3.71584805e+04
conv1 Class5 8 3 26 T7 5.59738789e+04
conv1 Class5 9 8 26 T7 2.47954551e+04

conv1 Class5 0 13 27 C5 2.98101348e+04
conv1 Class5 1 50 27 C5 2.17700234e+04
conv1 Class5 2 12 27 C5 3.29400352e+04
conv1 Class5 3 9 27 C5 3.45940547e+04
conv1 Class5 4 40 27 C5 4.15393164e+04
conv1 Class5 5 7 27 C5 3.54990469e+04
conv1 Class5 6 41 27 C5 3.02722109e+04
conv1 Class5 7 49 27 C5 3.35835781e+04
conv1 Class5 8 3 27 C5 5.03594688e+04
conv1 Class5 9 8 27 C5 2.31072070e+04

conv1 Class5 0 13 28 C3 3.01843223e+04
conv1 Class5 1 50 28 C3 2.20797930e+04
conv1 Class5 2 12 28 C3 3.34463477e+04
conv1 Class5 3 9 28 C3 3.55403203e+04
conv1 Class5 4 40 28 C3 4.22574766e+04
conv1 Class5 5 7 28 C3 3.62015508e+04
conv1 Class5 6 41 28 C3 3.08976484e+04
conv1 Class5 7 49 28 C3 3.41836992e+04
conv1 Class5 8 3 28 C3 5.11842344e+04
conv1 Class5 9 8 28 C3 2.33600898e+04

conv1 Class5 0 13 29 C1 3.00225605e+04
conv1 Class5 1 50 29 C1 2.17857539e+04
conv1 Class5 2 12 29 C1 3.33581406e+04
conv1 Class5 3 9 29 C1 3.50089727e+04
conv1 Class5 4 40 29 C1 4.19773945e+04
conv1 Class5 5 7 29 C1 3.59969922e+04
conv1 Class5 6 41 29 C1 3.07754316e+04
conv1 Class5 7 49 29 C1 3.41677930e+04
conv1 Class5 8 3 29 C1 5.09185859e+04
conv1 Class5 9 8 29 C1 2.32459004e+04

conv1 Class5 0 13 30 Cz 3.01471250e+04
conv1 Class5 1 50 30 Cz 2.20526270e+04
conv1 Class5 2 12 30 Cz 3.35069844e+04
conv1 Class5 3 9 30 Cz 3.50789141e+04
conv1 Class5 4 40 30 Cz 4.19999766e+04
conv1 Class5 5 7 30 Cz 3.59519727e+04
conv1 Class5 6 41 30 Cz 3.07842988e+04
conv1 Class5 7 49 30 Cz 3.43396914e+04
conv1 Class5 8 3 30 Cz 5.11797070e+04
conv1 Class5 9 8 30 Cz 2.33064043e+04

conv1 Class5 0 13 31 C2 3.04166426e+04
conv1 Class5 1 50 31 C2 2.23049316e+04
conv1 Class5 2 12 31 C2 3.36437148e+04
conv1 Class5 3 9 31 C2 3.52884102e+04
conv1 Class5 4 40 31 C2 4.21971719e+04
conv1 Class5 5 7 31 C2 3.61833320e+04
conv1 Class5 6 41 31 C2 3.07086582e+04
conv1 Class5 7 49 31 C2 3.44417617e+04
conv1 Class5 8 3 31 C2 5.15297188e+04
conv1 Class5 9 8 31 C2 2.35072227e+04

conv1 Class5 0 13 32 C4 3.03266270e+04
conv1 Class5 1 50 32 C4 2.22165840e+04
conv1 Class5 2 12 32 C4 3.37425469e+04
conv1 Class5 3 9 32 C4 3.52296641e+04
conv1 Class5 4 40 32 C4 4.21987188e+04
conv1 Class5 5 7 32 C4 3.62220039e+04
conv1 Class5 6 41 32 C4 3.09141699e+04
conv1 Class5 7 49 32 C4 3.43803906e+04
conv1 Class5 8 3 32 C4 5.14406797e+04
conv1 Class5 9 8 32 C4 2.37793691e+04

conv1 Class5 0 13 33 C6 2.99250684e+04
conv1 Class5 1 50 33 C6 2.18537520e+04
conv1 Class5 2 12 33 C6 3.30222852e+04
conv1 Class5 3 9 33 C6 3.46661016e+04
conv1 Class5 4 40 33 C6 4.14535820e+04
conv1 Class5 5 7 33 C6 3.54613945e+04
conv1 Class5 6 41 33 C6 3.01586582e+04
conv1 Class5 7 49 33 C6 3.37074844e+04
conv1 Class5 8 3 33 C6 5.04182773e+04
conv1 Class5 9 8 33 C6 2.32893496e+04

conv1 Class5 0 13 34 T8 3.14561699e+04
