# layer class subject_idx subject_id channel_idx channel_name value
conv1 Class4 0 13 0 Fp1 3.38549141e+04
conv1 Class4 1 50 0 Fp1 3.53921016e+04
conv1 Class4 2 12 0 Fp1 2.79554590e+04
conv1 Class4 3 9 0 Fp1 3.10196543e+04
conv1 Class4 4 40 0 Fp1 2.83776074e+04
conv1 Class4 5 7 0 Fp1 3.21111914e+04
conv1 Class4 6 41 0 Fp1 4.92282891e+04
conv1 Class4 7 49 0 Fp1 4.94431289e+04
conv1 Class4 8 3 0 Fp1 3.39484648e+04
conv1 Class4 9 8 0 Fp1 3.73189609e+04

conv1 Class4 0 13 1 Fpz 3.39194688e+04
conv1 Class4 1 50 1 Fpz 3.52807578e+04
conv1 Class4 2 12 1 Fpz 2.78806992e+04
conv1 Class4 3 9 1 Fpz 3.10804238e+04
conv1 Class4 4 40 1 Fpz 2.82944668e+04
conv1 Class4 5 7 1 Fpz 3.21003516e+04
conv1 Class4 6 41 1 Fpz 4.90613711e+04
conv1 Class4 7 49 1 Fpz 4.93053320e+04
conv1 Class4 8 3 1 Fpz 3.40446211e+04
conv1 Class4 9 8 1 Fpz 3.72604102e+04

conv1 Class4 0 13 2 Fp2 3.38448906e+04
conv1 Class4 1 50 2 Fp2 3.53754141e+04
conv1 Class4 2 12 2 Fp2 2.79479707e+04
conv1 Class4 3 9 2 Fp2 3.10351602e+04
conv1 Class4 4 40 2 Fp2 2.83326953e+04
conv1 Class4 5 7 2 Fp2 3.20891582e+04
conv1 Class4 6 41 2 Fp2 4.91587539e+04
conv1 Class4 7 49 2 Fp2 4.94099180e+04
conv1 Class4 8 3 2 Fp2 3.39451094e+04
conv1 Class4 9 8 2 Fp2 3.72918945e+04

conv1 Class4 0 13 3 AF7 3.43415156e+04
conv1 Class4 1 50 3 AF7 3.59066289e+04
conv1 Class4 2 12 3 AF7 2.80855918e+04
conv1 Class4 3 9 3 AF7 3.15898535e+04
conv1 Class4 4 40 3 AF7 2.88113184e+04
conv1 Class4 5 7 3 AF7 3.25597734e+04
conv1 Class4 6 41 3 AF7 4.99583477e+04
conv1 Class4 7 49 3 AF7 5.01853477e+04
conv1 Class4 8 3 3 AF7 3.44160195e+04
conv1 Class4 9 8 3 AF7 3.78281406e+04

conv1 Class4 0 13 4 AF3 3.43309102e+04
conv1 Class4 1 50 4 AF3 3.59447891e+04
conv1 Class4 2 12 4 AF3 2.80350645e+04
conv1 Class4 3 9 4 AF3 3.16967402e+04
conv1 Class4 4 40 4 AF3 2.87660469e+04
conv1 Class4 5 7 4 AF3 3.25819199e+04
conv1 Class4 6 41 4 AF3 4.99392812e+04
conv1 Class4 7 49 4 AF3 5.02356758e+04
conv1 Class4 8 3 4 AF3 3.45440977e+04
conv1 Class4 9 8 4 AF3 3.78851367e+04

conv1 Class4 0 13 5 AFz 3.49356406e+04
conv1 Class4 1 50 5 AFz 3.62865898e+04
conv1 Class4 2 12 5 AFz 2.84046660e+04
conv1 Class4 3 9 5 AFz 3.23556973e+04
conv1 Class4 4 40 5 AFz 2.92366465e+04
conv1 Class4 5 7 5 AFz 3.32722734e+04
conv1 Class4 6 41 5 AFz 5.08392617e+04
conv1 Class4 7 49 5 AFz 5.12425273e+04
conv1 Class4 8 3 5 AFz 3.52529961e+04
conv1 Class4 9 8 5 AFz 3.84135312e+04

conv1 Class4 0 13 6 AF4 3.41800430e+04
conv1 Class4 1 50 6 AF4 3.56477578e+04
conv1 Class4 2 12 6 AF4 2.80142285e+04
conv1 Class4 3 9 6 AF4 3.15546973e+04
conv1 Class4 4 40 6 AF4 2.86297559e+04
conv1 Class4 5 7 6 AF4 3.24553613e+04
conv1 Class4 6 41 6 AF4 4.96033359e+04
conv1 Class4 7 49 6 AF4 5.00310859e+04
conv1 Class4 8 3 6 AF4 3.43119141e+04
conv1 Class4 9 8 6 AF4 3.77354297e+04

conv1 Class4 0 13 7 AF8 3.43576914e+04
conv1 Class4 1 50 7 AF8 3.59779883e+04
conv1 Class4 2 12 7 AF8 2.84107480e+04
conv1 Class4 3 9 7 AF8 3.14217422e+04
conv1 Class4 4 40 7 AF8 2.88600059e+04
conv1 Class4 5 7 7 AF8 3.26040547e+04
conv1 Class4 6 41 7 AF8 4.99084922e+04
conv1 Class4 7 49 7 AF8 5.03076992e+04
conv1 Class4 8 3 7 AF8 3.45004180e+04
conv1 Class4 9 8 7 AF8 3.78602695e+04

conv1 Class4 0 13 8 F7 3.56548672e+04
conv1 Class4 1 50 8 F7 3.71954141e+04
conv1 Class4 2 12 8 F7 2.90381328e+04
conv1 Class4 3 9 8 F7 3.26683652e+04
conv1 Class4 4 40 8 F7 3.00025723e+04
conv1 Class4 5 7 8 F7 3.38407539e+04
conv1 Class4 6 41 8 F7 5.17761328e+04
