# layer class subject_idx subject_id channel_idx channel_name value
conv2 Class5 0 13 0 Fp1 4.05839062e+04
conv2 Class5 1 50 0 Fp1 2.05956934e+04
conv2 Class5 2 12 0 Fp1 2.40588594e+04
conv2 Class5 3 9 0 Fp1 3.60559297e+04
conv2 Class5 4 40 0 Fp1 4.11707695e+04
conv2 Class5 5 7 0 Fp1 1.97652402e+04
conv2 Class5 6 41 0 Fp1 2.28545254e+04
conv2 Class5 7 49 0 Fp1 9.46018652e+03
conv2 Class5 8 3 0 Fp1 3.94162695e+04
conv2 Class5 9 8 0 Fp1 4.59038359e+04

conv2 Class5 0 13 1 Fpz 4.04444883e+04
conv2 Class5 1 50 1 Fpz 2.04752051e+04
conv2 Class5 2 12 1 Fpz 2.40437773e+04
conv2 Class5 3 9 1 Fpz 3.59601992e+04
conv2 Class5 4 40 1 Fpz 4.09912344e+04
conv2 Class5 5 7 1 Fpz 1.97246328e+04
conv2 Class5 6 41 1 Fpz 2.29022754e+04
conv2 Class5 7 49 1 Fpz 9.43942676e+03
conv2 Class5 8 3 1 Fpz 3.93936523e+04
conv2 Class5 9 8 1 Fpz 4.57116914e+04

conv2 Class5 0 13 2 Fp2 4.05854961e+04
conv2 Class5 1 50 2 Fp2 2.04902051e+04
conv2 Class5 2 12 2 Fp2 2.40515117e+04
conv2 Class5 3 9 2 Fp2 3.59222656e+04
conv2 Class5 4 40 2 Fp2 4.10776836e+04
conv2 Class5 5 7 2 Fp2 1.97356816e+04
conv2 Class5 6 41 2 Fp2 2.29192578e+04
conv2 Class5 7 49 2 Fp2 9.47429590e+03
conv2 Class5 8 3 2 Fp2 3.94565352e+04
conv2 Class5 9 8 2 Fp2 4.57260469e+04

conv2 Class5 0 13 3 AF7 4.16546797e+04
conv2 Class5 1 50 3 AF7 2.12400898e+04
conv2 Class5 2 12 3 AF7 2.45330703e+04
conv2 Class5 3 9 3 AF7 3.66644961e+04
conv2 Class5 4 40 3 AF7 4.22284102e+04
conv2 Class5 5 7 3 AF7 2.00997207e+04
conv2 Class5 6 41 3 AF7 2.32480176e+04
conv2 Class5 7 49 3 AF7 9.55054004e+03
conv2 Class5 8 3 3 AF7 4.00422031e+04
conv2 Class5 9 8 3 AF7 4.70062812e+04

conv2 Class5 0 13 4 AF3 4.13797500e+04
conv2 Class5 1 50 4 AF3 2.11471914e+04
conv2 Class5 2 12 4 AF3 2.46665605e+04
conv2 Class5 3 9 4 AF3 3.66647305e+04
conv2 Class5 4 40 4 AF3 4.21482031e+04
conv2 Class5 5 7 4 AF3 2.00918203e+04
conv2 Class5 6 41 4 AF3 2.32306250e+04
conv2 Class5 7 49 4 AF3 9.59257812e+03
conv2 Class5 8 3 4 AF3 4.00949375e+04
conv2 Class5 9 8 4 AF3 4.67600039e+04

conv2 Class5 0 13 5 AFz 4.21471016e+04
conv2 Class5 1 50 5 AFz 2.15492441e+04
conv2 Class5 2 12 5 AFz 2.56323340e+04
conv2 Class5 3 9 5 AFz 3.72184883e+04
conv2 Class5 4 40 5 AFz 4.29355430e+04
conv2 Class5 5 7 5 AFz 2.05527422e+04
conv2 Class5 6 41 5 AFz 2.41010527e+04
conv2 Class5 7 49 5 AFz 9.75858691e+03
conv2 Class5 8 3 5 AFz 4.08166875e+04
