# layer class subject_idx subject_id channel_idx channel_name value
conv2 Class4 0 13 0 Fp1 2.53974434e+04
conv2 Class4 1 50 0 Fp1 3.20305430e+04
conv2 Class4 2 12 0 Fp1 3.34825117e+04
conv2 Class4 3 9 0 Fp1 2.50796543e+04
conv2 Class4 4 40 0 Fp1 3.97935430e+04
conv2 Class4 5 7 0 Fp1 3.23415391e+04
conv2 Class4 6 41 0 Fp1 2.14386250e+04
conv2 Class4 7 49 0 Fp1 3.26027891e+04
conv2 Class4 8 3 0 Fp1 3.54379258e+04
conv2 Class4 9 8 0 Fp1 2.53005547e+04

conv2 Class4 0 13 1 Fpz 2.53846055e+04
conv2 Class4 1 50 1 Fpz 3.18536719e+04
conv2 Class4 2 12 1 Fpz 3.34317227e+04
conv2 Class4 3 9 1 Fpz 2.50325078e+04
conv2 Class4 4 40 1 Fpz 3.96449180e+04
conv2 Class4 5 7 1 Fpz 3.21980605e+04
conv2 Class4 6 41 1 Fpz 2.13762188e+04
conv2 Class4 7 49 1 Fpz 3.24205938e+04
conv2 Class4 8 3 1 Fpz 3.53806133e+04
conv2 Class4 9 8 1 Fpz 2.51386660e+04

conv2 Class4 0 13 2 Fp2 2.52673906e+04
conv2 Class4 1 50 2 Fp2 3.18825352e+04
conv2 Class4 2 12 2 Fp2 3.34015078e+04
conv2 Class4 3 9 2 Fp2 2.50237090e+04
conv2 Class4 4 40 2 Fp2 3.95884570e+04
conv2 Class4 5 7 2 Fp2 3.22807871e+04
conv2 Class4 6 41 2 Fp2 2.13971543e+04
conv2 Class4 7 49 2 Fp2 3.24497246e+04
conv2 Class4 8 3 2 Fp2 3.53432539e+04
conv2 Class4 9 8 2 Fp2 2.51377539e+04

conv2 Class4 0 13 3 AF7 2.57269004e+04
conv2 Class4 1 50 3 AF7 3.28460820e+04
conv2 Class4 2 12 3 AF7 3.41795586e+04
conv2 Class4 3 9 3 AF7 2.55251191e+04
conv2 Class4 4 40 3 AF7 4.07911992e+04
conv2 Class4 5 7 3 AF7 3.29440820e+04
conv2 Class4 6 41 3 AF7 2.19505879e+04
conv2 Class4 7 49 3 AF7 3.35823203e+04
conv2 Class4 8 3 3 AF7 3.58312148e+04
conv2 Class4 9 8 3 AF7 2.57991465e+04

conv2 Class4 0 13 4 AF3 2.57702305e+04
conv2 Class4 1 50 4 AF3 3.26539297e+04
conv2 Class4 2 12 4 AF3 3.41101406e+04
conv2 Class4 3 9 4 AF3 2.54264980e+04
conv2 Class4 4 40 4 AF3 4.06243555e+04
conv2 Class4 5 7 4 AF3 3.28582461e+04
conv2 Class4 6 41 4 AF3 2.19240078e+04
conv2 Class4 7 49 4 AF3 3.34927617e+04
conv2 Class4 8 3 4 AF3 3.58128477e+04
conv2 Class4 9 8 4 AF3 2.56330195e+04

conv2 Class4 0 13 5 AFz 2.67984746e+04
conv2 Class4 1 50 5 AFz 3.32657930e+04
conv2 Class4 2 12 5 AFz 3.49338086e+04
conv2 Class4 3 9 5 AFz 2.60864453e+04
conv2 Class4 4 40 5 AFz 4.13310352e+04
conv2 Class4 5 7 5 AFz 3.34355352e+04
conv2 Class4 6 41 5 AFz 2.25504844e+04
conv2 Class4 7 49 5 AFz 3.41197852e+04
conv2 Class4 8 3 5 AFz 3.61510156e+04
conv2 Class4 9 8 5 AFz 2.59039863e+04

