# layer class subject_idx subject_id channel_idx channel_name value
conv1 Left 2 12 12 Fz 2.06193965e+04
conv1 Left 3 9 12 Fz 1.41088457e+04
conv1 Left 4 40 12 Fz 2.66463770e+04
conv1 Left 5 7 12 Fz 2.77562715e+04
conv1 Left 6 41 12 Fz 2.45453516e+04
conv1 Left 7 49 12 Fz 2.63423496e+04
conv1 Left 8 3 12 Fz 3.29171172e+04
conv1 Left 9 8 12 Fz 1.96482773e+04

conv1 Left 0 13 13 F2 2.04793379e+04
conv1 Left 1 50 13 F2 3.15202793e+04
conv1 Left 2 12 13 F2 2.07347969e+04
conv1 Left 3 9 13 F2 1.42109424e+04
conv1 Left 4 40 13 F2 2.68125703e+04
conv1 Left 5 7 13 F2 2.79088828e+04
conv1 Left 6 41 13 F2 2.47700996e+04
conv1 Left 7 49 13 F2 2.65396191e+04
conv1 Left 8 3 13 F2 3.31227578e+04
conv1 Left 9 8 13 F2 1.97824297e+04

conv1 Left 0 13 14 F4 2.03294551e+04
conv1 Left 1 50 14 F4 3.16678613e+04
conv1 Left 2 12 14 F4 2.08788828e+04
conv1 Left 3 9 14 F4 1.41635156e+04
conv1 Left 4 40 14 F4 2.69438516e+04
conv1 Left 5 7 14 F4 2.79609707e+04
conv1 Left 6 41 14 F4 2.47636074e+04
conv1 Left 7 49 14 F4 2.66033418e+04
conv1 Left 8 3 14 F4 3.32728281e+04
conv1 Left 9 8 14 F4 1.98738867e+04

conv1 Left 0 13 15 F6 2.01001621e+04
conv1 Left 1 50 15 F6 3.13947129e+04
conv1 Left 2 12 15 F6 2.06102949e+04
conv1 Left 3 9 15 F6 1.40173164e+04
conv1 Left 4 40 15 F6 2.65453691e+04
conv1 Left 5 7 15 F6 2.76638633e+04
conv1 Left 6 41 15 F6 2.44448633e+04
conv1 Left 7 49 15 F6 2.63348633e+04
conv1 Left 8 3 15 F6 3.29087266e+04
conv1 Left 9 8 15 F6 1.96500020e+04

conv1 Left 0 13 16 F8 2.09358867e+04
conv1 Left 1 50 16 F8 3.24932656e+04
conv1 Left 2 12 16 F8 2.15896484e+04
conv1 Left 3 9 16 F8 1.46515273e+04
conv1 Left 4 40 16 F8 2.78907480e+04
conv1 Left 5 7 16 F8 2.88703359e+04
conv1 Left 6 41 16 F8 2.57260898e+04
conv1 Left 7 49 16 F8 2.75751719e+04
conv1 Left 8 3 16 F8 3.42264570e+04
conv1 Left 9 8 16 F8 2.04772559e+04

conv1 Left 0 13 17 FT7 2.13637480e+04
conv1 Left 1 50 17 FT7 3.31636211e+04
conv1 Left 2 12 17 FT7 2.20593438e+04
conv1 Left 3 9 17 FT7 1.49587373e+04
conv1 Left 4 40 17 FT7 2.84229219e+04
conv1 Left 5 7 17 FT7 2.94078340e+04
conv1 Left 6 41 17 FT7 2.66467793e+04
conv1 Left 7 49 17 FT7 2.81127148e+04
conv1 Left 8 3 17 FT7 3.50960547e+04
conv1 Left 9 8 17 FT7 2.08514238e+04

conv1 Left 0 13 18 FC5 2.02925098e+04
conv1 Left 1 50 18 FC5 3.15901777e+04
conv1 Left 2 12 18 FC5 2.07039961e+04
conv1 Left 3 9 18 FC5 1.40576016e+04
conv1 Left 4 40 18 FC5 2.66812988e+04
conv1 Left 5 7 18 FC5 2.77591250e+04
conv1 Left 6 41 18 FC5 2.47759551e+04
conv1 Left 7 49 18 FC5 2.63804277e+04
conv1 Left 8 3 18 FC5 3.30536094e+04
conv1 Left 9 8 18 FC5 1.97084609e+04

conv1 Left 0 13 19 FC3 2.05349805e+04
conv1 Left 1 50 19 FC3 3.19057676e+04
conv1 Left 2 12 19 FC3 2.09333164e+04
