# layer class subject_idx subject_id channel_idx channel_name value
conv3 Class4 0 13 0 Fp1 3.57133281e+04
conv3 Class4 1 50 0 Fp1 2.59692324e+04
conv3 Class4 2 12 0 Fp1 3.27187461e+04
conv3 Class4 3 9 0 Fp1 8.32394629e+03
conv3 Class4 4 40 0 Fp1 3.56648672e+04
conv3 Class4 5 7 0 Fp1 2.89506230e+04
conv3 Class4 6 41 0 Fp1 2.14353477e+04
conv3 Class4 7 49 0 Fp1 4.28990898e+04
conv3 Class4 8 3 0 Fp1 2.04660293e+04
conv3 Class4 9 8 0 Fp1 1.54709990e+04

conv3 Class4 0 13 1 Fpz 3.56495391e+04
conv3 Class4 1 50 1 Fpz 2.59516758e+04
conv3 Class4 2 12 1 Fpz 3.26163066e+04
conv3 Class4 3 9 1 Fpz 8.34645703e+03
conv3 Class4 4 40 1 Fpz 3.54696523e+04
conv3 Class4 5 7 1 Fpz 2.88489766e+04
conv3 Class4 6 41 1 Fpz 2.14285449e+04
conv3 Class4 7 49 1 Fpz 4.26464883e+04
conv3 Class4 8 3 1 Fpz 2.04246035e+04
conv3 Class4 9 8 1 Fpz 1.54435762e+04

conv3 Class4 0 13 2 Fp2 3.57408672e+04
conv3 Class4 1 50 2 Fp2 2.61289590e+04
conv3 Class4 2 12 2 Fp2 3.25886016e+04
conv3 Class4 3 9 2 Fp2 8.36964355e+03
conv3 Class4 4 40 2 Fp2 3.54375430e+04
conv3 Class4 5 7 2 Fp2 2.88932031e+04
conv3 Class4 6 41 2 Fp2 2.15163555e+04
conv3 Class4 7 49 2 Fp2 4.28426680e+04
conv3 Class4 8 3 2 Fp2 2.04408145e+04
conv3 Class4 9 8 2 Fp2 1.55143643e+04

conv3 Class4 0 13 3 AF7 3.69009727e+04
conv3 Class4 1 50 3 AF7 2.67130391e+04
conv3 Class4 2 12 3 AF7 3.31939844e+04
conv3 Class4 3 9 3 AF7 8.32307227e+03
conv3 Class4 4 40 3 AF7 3.71005195e+04
conv3 Class4 5 7 3 AF7 2.98829590e+04
conv3 Class4 6 41 3 AF7 2.16016484e+04
conv3 Class4 7 49 3 AF7 4.46490586e+04
conv3 Class4 8 3 3 AF7 2.06724219e+04
conv3 Class4 9 8 3 AF7 1.59980264e+04

conv3 Class4 0 13 4 AF3 3.67205000e+04
conv3 Class4 1 50 4 AF3 2.66604473e+04
conv3 Class4 2 12 4 AF3 3.32752148e+04
conv3 Class4 3 9 4 AF3 8.32144824e+03
conv3 Class4 4 40 4 AF3 3.70157383e+04
conv3 Class4 5 7 4 AF3 2.99871953e+04
conv3 Class4 6 41 4 AF3 2.16681934e+04
conv3 Class4 7 49 4 AF3 4.44012930e+04
conv3 Class4 8 3 4 AF3 2.07177246e+04
conv3 Class4 9 8 4 AF3 1.61021680e+04

conv3 Class4 0 13 5 AFz 3.76321797e+04
conv3 Class4 1 50 5 AFz 2.73475332e+04
conv3 Class4 2 12 5 AFz 3.36571602e+04
conv3 Class4 3 9 5 AFz 8.34216016e+03
conv3 Class4 4 40 5 AFz 3.77445078e+04
conv3 Class4 5 7 5 AFz 3.08532422e+04
conv3 Class4 6 41 5 AFz 2.21931621e+04
conv3 Class4 7 49 5 AFz 4.50198164e+04
conv3 Class4 8 3 5 AFz 2.10675449e+04
conv3 Class4 9 8 5 AFz 1.65310645e+04

conv3 Class4 0 13 6 AF4 3.68647578e+04
conv3 Class4 1 50 6 AF4 2.70033457e+04
conv3 Class4 2 12 6 AF4 3.30529531e+04
conv3 Class4 3 9 6 AF4 8.35512402e+03
conv3 Class4 4 40 6 AF4 3.64887031e+04
conv3 Class4 5 7 6 AF4 2.98249141e+04
conv3 Class4 6 41 6 AF4 2.20343574e+04
conv3 Class4 7 49 6 AF4 4.42671602e+04
conv3 Class4 8 3 6 AF4 2.08076094e+04
conv3 Class4 9 8 6 AF4 1.61119316e+04

conv3 Class4 0 13 7 AF8 3.68406172e+04
conv3 Class4 1 50 7 AF8 2.71096758e+04
conv3 Class4 2 12 7 AF8 3.30713477e+04
conv3 Class4 3 9 7 AF8 8.36347266e+03
conv3 Class4 4 40 7 AF8 3.62219141e+04
conv3 Class4 5 7 7 AF8 2.95971914e+04
conv3 Class4 6 41 7 AF8 2.20528848e+04
conv3 Class4 7 49 7 AF8 4.43841172e+04
conv3 Class4 8 3 7 AF8 2.06594062e+04
conv3 Class4 9 8 7 AF8 1.60046016e+04

conv3 Class4 0 13 8 F7 3.92023398e+04
conv3 Class4 1 50 8 F7 2.80952871e+04
conv3 Class4 2 12 8 F7 3.45352695e+04
conv3 Class4 3 9 8 F7 8.36527148e+03
conv3 Class4 4 40 8 F7 3.83389453e+04
conv3 Class4 5 7 8 F7 3.11372246e+04
conv3 Class4 6 41 8 F7 2.23546680e+04
conv3 Class4 7 49 8 F7 4.72027148e+04
conv3 Class4 8 3 8 F7 2.12257363e+04
conv3 Class4 9 8 8 F7 1.70055664e+04

conv3 Class4 0 13 9 F5 3.64087578e+04
conv3 Class4 1 50 9 F5 2.67333223e+04
conv3 Class4 2 12 9 F5 3.30043359e+04
conv3 Class4 3 9 9 F5 8.32336426e+03
conv3 Class4 4 40 9 F5 3.66417852e+04
conv3 Class4 5 7 9 F5 2.92214492e+04
conv3 Class4 6 41 9 F5 2.17124492e+04
conv3 Class4 7 49 9 F5 4.41445781e+04
conv3 Class4 8 3 9 F5 2.05351328e+04
conv3 Class4 9 8 9 F5 1.62053867e+04

conv3 Class4 0 13 10 F3 3.71446758e+04
conv3 Class4 1 50 10 F3 2.72916621e+04
conv3 Class4 2 12 10 F3 3.35546797e+04
conv3 Class4 3 9 10 F3 8.32361719e+03
conv3 Class4 4 40 10 F3 3.75602773e+04
conv3 Class4 5 7 10 F3 2.98204707e+04
conv3 Class4 6 41 10 F3 2.18731973e+04
conv3 Class4 7 49 10 F3 4.49372734e+04
conv3 Class4 8 3 10 F3 2.07212637e+04
conv3 Class4 9 8 10 F3 1.66911758e+04

conv3 Class4 0 13 11 F1 3.70648438e+04
conv3 Class4 1 50 11 F1 2.74888203e+04
conv3 Class4 2 12 11 F1 3.35853984e+04
conv3 Class4 3 9 11 F1 8.32105566e+03
conv3 Class4 4 40 11 F1 3.76326836e+04
conv3 Class4 5 7 11 F1 2.98294199e+04
conv3 Class4 6 41 11 F1 2.20786445e+04
conv3 Class4 7 49 11 F1 4.48558828e+04
conv3 Class4 8 3 11 F1 2.09261699e+04
conv3 Class4 9 8 11 F1 1.68260566e+04

conv3 Class4 0 13 12 Fz 3.64574961e+04
conv3 Class4 1 50 12 Fz 2.71175820e+04
conv3 Class4 2 12 12 Fz 3.31661836e+04
conv3 Class4 3 9 12 Fz 8.32094141e+03
conv3 Class4 4 40 12 Fz 3.67823906e+04
conv3 Class4 5 7 12 Fz 2.93140234e+04
conv3 Class4 6 41 12 Fz 2.21193164e+04
conv3 Class4 7 49 12 Fz 4.41680586e+04
conv3 Class4 8 3 12 Fz 2.08454785e+04
conv3 Class4 9 8 12 Fz 1.63989355e+04

conv3 Class4 0 13 13 F2 3.69996016e+04
conv3 Class4 1 50 13 F2 2.75530762e+04
conv3 Class4 2 12 13 F2 3.36200938e+04
conv3 Class4 3 9 13 F2 8.32753027e+03
conv3 Class4 4 40 13 F2 3.73024297e+04
conv3 Class4 5 7 13 F2 2.96732363e+04
conv3 Class4 6 41 13 F2 2.27118809e+04
conv3 Class4 7 49 13 F2 4.48328320e+04
conv3 Class4 8 3 13 F2 2.10227832e+04
conv3 Class4 9 8 13 F2 1.66666992e+04

conv3 Class4 0 13 14 F4 3.70108906e+04
conv3 Class4 1 50 14 F4 2.75271211e+04
conv3 Class4 2 12 14 F4 3.35597461e+04
conv3 Class4 3 9 14 F4 8.33339746e+03
conv3 Class4 4 40 14 F4 3.69683711e+04
conv3 Class4 5 7 14 F4 2.94979707e+04
conv3 Class4 6 41 14 F4 2.27867598e+04
conv3 Class4 7 49 14 F4 4.48764531e+04
conv3 Class4 8 3 14 F4 2.08954629e+04
conv3 Class4 9 8 14 F4 1.66033906e+04

conv3 Class4 0 13 15 F6 3.63617734e+04
conv3 Class4 1 50 15 F6 2.70273594e+04
conv3 Class4 2 12 15 F6 3.30385859e+04
conv3 Class4 3 9 15 F6 8.32783105e+03
conv3 Class4 4 40 15 F6 3.62272891e+04
conv3 Class4 5 7 15 F6 2.89929648e+04
conv3 Class4 6 41 15 F6 2.23073223e+04
conv3 Class4 7 49 15 F6 4.41945820e+04
conv3 Class4 8 3 15 F6 2.06746777e+04
conv3 Class4 9 8 15 F6 1.61874834e+04

