x,y,val
0,0,1
1,0,4
2,0,5
3,0,3
4,0,5
5,0,5
6,0,1
7,0,6
8,0,5
9,0,6
10,0,3
11,0,6
12,0,7
13,0,6
14,0,8
15,0,8
16,0,6
17,0,5
18,0,5
19,0,3
20,0,3
21,0,6
22,0,8
23,0,6
24,0,8
25,0,7
26,0,7
27,0,6
28,0,7
29,0,7
30,0,6
31,0,6
32,0,8
33,0,5
34,0,6
35,0,5
36,0,6
37,0,8
38,0,4
39,0,4
40,0,5
41,0,7
42,0,6
43,0,8
44,0,4
45,0,7
46,0,7
47,0,7
48,0,8
49,0,8
0,1,3
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,2
7,1,1
8,1,1
9,1,1
10,1,2
11,1,5
12,1,3
13,1,2
14,1,1
15,1,3
16,1,1
17,1,3
18,1,3
19,1,2
20,1,1
21,1,2
22,1,4
23,1,2
24,1,2
25,1,2
26,1,3
27,1,3
28,1,5
29,1,1
30,1,2
31,1,5
32,1,2
33,1,4
34,1,3
35,1,2
36,1,3
37,1,4
38,1,2
39,1,4
40,1,2
41,1,2
42,1,5
43,1,6
44,1,2
45,1,1
46,1,2
47,1,4
48,1,3
49,1,3
0,2,7
1,2,6
2,2,6
3,2,7
4,2,6
5,2,4
6,2,6
7,2,3
8,2,8
9,2,4
10,2,6
11,2,4
12,2,6
13,2,4
14,2,6
15,2,6
16,2,4
17,2,7
18,2,6
19,2,4
20,2,5
21,2,4
22,2,6
23,2,3
24,2,3
25,2,6
26,2,1
27,2,2
28,2,3
29,2,5
30,2,4
31,2,2
32,2,5
33,2,8
34,2,2
35,2,8
36,2,2
37,2,2
38,2,8
39,2,6
40,2,7
41,2,3
42,2,4
43,2,2
44,2,3
45,2,2
46,2,4
47,2,3
48,2,2
49,2,4
0,3,3
1,3,8
2,3,8
3,3,6
4,3,8
5,3,8
6,3,4
7,3,8
8,3,3
9,3,8
10,3,5
11,3,8
12,3,4
13,3,8
14,3,7
15,3,4
16,3,7
17,3,4
18,3,7
19,3,6
20,3,7
21,3,5
22,3,7
23,3,8
24,3,5
25,3,8
26,3,8
27,3,5
28,3,8
29,3,8
30,3,6
31,3,7
32,3,6
33,3,6
34,3,8
35,3,3
36,3,7
37,3,7
38,3,6
39,3,7
40,3,8
41,3,8
42,3,7
43,3,7
44,3,4
45,3,8
46,3,6
47,3,6
48,3,6
49,3,5
0,4,6
1,4,5
2,4,2
3,4,2
4,4,4
5,4,3
6,4,3
7,4,4
8,4,2
9,4,2
10,4,1
11,4,2
12,4,1
13,4,1
14,4,3
15,4,1
16,4,2
17,4,2
18,4,4
19,4,4
20,4,2
21,4,1
22,4,4
23,4,3
24,4,5
25,4,4
26,4,4
27,4,6
28,4,4
29,4,4
30,4,8
31,4,3
32,4,3
33,4,3
34,4,4
35,4,6
36,4,5
37,4,3
38,4,5
39,4,2
40,4,3
41,4,6
42,4,3
43,4,3
44,4,6
45,4,5
46,4,3
47,4,2
48,4,4
49,4,2
0,5,2
1,5,1
2,5,4
3,5,4
4,5,2
5,5,6
6,5,4
7,5,7
8,5,7
9,5,5
10,5,4
11,5,3
12,5,5
13,5,5
14,5,5
15,5,5
16,5,3
17,5,6
18,5,1
19,5,7
20,5,6
21,5,6
22,5,3
23,5,5
24,5,3
25,5,3
26,5,5
27,5,4
28,5,2
29,5,3
30,5,3
31,5,4
32,5,4
33,5,1
34,5,7
35,5,3
36,5,4
37,5,5
38,5,3
39,5,3
40,5,6
41,5,4
42,5,8
43,5,4
44,5,8
45,5,4
46,5,5
47,5,5
48,5,5
49,5,5
0,6,5
1,6,3
2,6,3
3,6,5
4,6,7
5,6,7
6,6,8
7,6,5
8,6,6
9,6,3
10,6,8
11,6,7
12,6,8
13,6,7
14,6,4
15,6,7
16,6,8
17,6,8
18,6,8
19,6,8
20,6,8
21,6,8
22,6,2
23,6,7
24,6,7
25,6,5
26,6,6
27,6,8
28,6,6
29,6,6
30,6,5
31,6,8
32,6,7
33,6,7
34,6,5
35,6,7
36,6,8
37,6,6
38,6,7
39,6,8
40,6,4
41,6,5
42,6,2
43,6,5
44,6,7
45,6,6
46,6,8
47,6,8
48,6,7
49,6,7
0,7,8
1,7,7
2,7,7
3,7,8
4,7,2
5,7,2
6,7,6
7,7,2
8,7,4
9,7,7
10,7,7
11,7,1
12,7,2
13,7,3
14,7,2
15,7,2
16,7,5
17,7,1
18,7,1
19,7,1
20,7,4
21,7,3
22,7,1
23,7,1
24,7,1
25,7,1
26,7,1
27,7,1
28,7,1
29,7,2
30,7,1
31,7,1
32,7,1
33,7,2
34,7,1
35,7,1
36,7,1
37,7,1
38,7,1
39,7,1
40,7,1
41,7,1
42,7,1
43,7,1
44,7,1
45,7,2
46,7,1
47,7,1
48,7,1
49,7,1
