# layer class subject_idx subject_id channel_idx channel_name value
conv3 Class5 0 13 0 Fp1 2.61520488e+04
conv3 Class5 1 50 0 Fp1 2.80877949e+04
conv3 Class5 2 12 0 Fp1 4.05703242e+04
conv3 Class5 3 9 0 Fp1 2.24204590e+04
conv3 Class5 4 40 0 Fp1 3.49609219e+04
conv3 Class5 5 7 0 Fp1 2.86246504e+04
conv3 Class5 6 41 0 Fp1 1.85065605e+04
conv3 Class5 7 49 0 Fp1 3.03130918e+04
conv3 Class5 8 3 0 Fp1 2.53747793e+04
conv3 Class5 9 8 0 Fp1 1.32354756e+04

conv3 Class5 0 13 1 Fpz 2.60526016e+04
conv3 Class5 1 50 1 Fpz 2.81641230e+04
conv3 Class5 2 12 1 Fpz 4.04504141e+04
conv3 Class5 3 9 1 Fpz 2.24177988e+04
conv3 Class5 4 40 1 Fpz 3.48652891e+04
conv3 Class5 5 7 1 Fpz 2.85586816e+04
conv3 Class5 6 41 1 Fpz 1.84857598e+04
conv3 Class5 7 49 1 Fpz 3.01983926e+04
conv3 Class5 8 3 1 Fpz 2.52391973e+04
conv3 Class5 9 8 1 Fpz 1.32121426e+04

conv3 Class5 0 13 2 Fp2 2.61247285e+04
conv3 Class5 1 50 2 Fp2 2.83825352e+04
conv3 Class5 2 12 2 Fp2 4.04714570e+04
conv3 Class5 3 9 2 Fp2 2.25351641e+04
conv3 Class5 4 40 2 Fp2 3.49791133e+04
conv3 Class5 5 7 2 Fp2 2.87053965e+04
conv3 Class5 6 41 2 Fp2 1.85483301e+04
conv3 Class5 7 49 2 Fp2 3.03895449e+04
conv3 Class5 8 3 2 Fp2 2.52427500e+04
conv3 Class5 9 8 2 Fp2 1.32533398e+04

conv3 Class5 0 13 3 AF7 2.72915098e+04
conv3 Class5 1 50 3 AF7 2.89965215e+04
conv3 Class5 2 12 3 AF7 4.15510352e+04
conv3 Class5 3 9 3 AF7 2.29554609e+04
conv3 Class5 4 40 3 AF7 3.60320977e+04
conv3 Class5 5 7 3 AF7 2.95664785e+04
conv3 Class5 6 41 3 AF7 1.87149785e+04
conv3 Class5 7 49 3 AF7 3.12967539e+04
conv3 Class5 8 3 3 AF7 2.59704922e+04
conv3 Class5 9 8 3 AF7 1.35461328e+04

conv3 Class5 0 13 4 AF3 2.69535176e+04
conv3 Class5 1 50 4 AF3 2.91500801e+04
conv3 Class5 2 12 4 AF3 4.15691406e+04
conv3 Class5 3 9 4 AF3 2.29667090e+04
